0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.17091584164256e-13 	 -9.27050983124540e-01   2.85316954890000e+00 	-3.66165984553335e-11	 -7.60125994953716e-10	-6.55418443060042e-21		1.00000000000000e+00
6.00000000000000e-02    	-7.30305867719196e-12 	 -9.27050983267288e-01   2.85316954890000e+00 	-6.18399428238581e-10	 -1.22987866449968e-08	-1.17211536634787e-18		1.00000000000000e+00
9.00000000000000e-02    	-5.72114257617210e-11 	 -9.27050984234644e-01   2.85316954890000e+00 	-3.22067697387467e-09	 -6.14825178490399e-08	-1.56273492398851e-17		1.00000000000000e+00
1.20000000000000e-01    	-2.44358986653287e-10 	 -9.27050987721941e-01   2.85316954890000e+00 	-1.02213782936440e-08	 -1.87280071767012e-07	-1.01738666921721e-17		1.00000000000002e+00
1.50000000000000e-01    	-7.43033986830500e-10 	 -9.27050996639626e-01   2.85316954890000e+00 	-2.44680316262849e-08	 -4.29395985444271e-07	7.45877072445478e-16		1.00000000000009e+00
1.80000000000000e-01    	-1.81109018982750e-09 	 -9.27051014904059e-01   2.85316954890000e+00 	-4.85387425748057e-08	 -8.12210179535187e-07	6.11211955809453e-15		1.00000000000033e+00
2.10000000000000e-01    	-3.76774428834875e-09 	 -9.27051046699153e-01   2.85316954890000e+00 	-8.37700258014104e-08	 -1.32592648352170e-06	2.82242138500098e-14		1.00000000000088e+00
2.40000000000000e-01    	-6.94001862989510e-09 	 -9.27051095160276e-01   2.85316954890000e+00 	-1.29159079399195e-07	 -1.90734172224386e-06	9.38149054281557e-14		1.00000000000183e+00
2.70000000000000e-01    	-1.15760165853486e-08 	 -9.27051160509259e-01   2.85316954890001e+00 	-1.80274277228321e-07	 -2.42295012195030e-06	2.45147038529672e-13		1.00000000000295e+00
3.00000000000000e-01    	-1.77274874731941e-08 	 -9.27051237752428e-01   2.85316954890002e+00 	-2.28322709998353e-07	 -2.65716121486162e-06	5.23242097310729e-13		1.00000000000356e+00
3.30000000000000e-01    	-2.51086685443474e-08 	 -9.27051314134629e-01   2.85316954890004e+00 	-2.59525727042685e-07	 -2.30821604447563e-06	9.18763123418664e-13		1.00000000000270e+00
3.60000000000000e-01    	-3.29427800301977e-08 	 -9.27051366613664e-01   2.85316954890007e+00 	-2.54941785012041e-07	 -9.93937801758057e-07	1.28242956789539e-12		1.00000000000053e+00
3.90000000000000e-01    	-3.98113833981494e-08 	 -9.27051359673951e-01   2.85316954890011e+00 	-1.90850725975921e-07	 1.73123041036791e-06	1.20642719025849e-12		1.00000000000152e+00
4.20000000000000e-01    	-4.35247032552430e-08 	 -9.27051243829007e-01   2.85316954890013e+00 	-3.97761640146772e-08	 6.34732739234575e-06	-7.91499232431696e-14		1.00000000002014e+00
4.50000000000000e-01    	-4.10326230673859e-08 	 -9.27050955164550e-01   2.85316954890008e+00 	2.27824831570976e-07	 1.33285622579481e-05	-3.71220040704554e-12		1.00000000008885e+00
4.80000000000000e-01    	-2.83961352452987e-08 	 -9.27050416244281e-01   2.85316954889987e+00 	6.41230160788597e-07	 2.30931293725452e-05	-1.09941943044361e-11		1.00000000026685e+00
5.10000000000000e-01    	-8.37394754521004e-10 	 -9.27049538637780e-01   2.85316954889938e+00 	1.22656288910264e-06	 3.59457777833143e-05	-2.28611126493670e-11		1.00000000064680e+00
5.40000000000000e-01    	4.71168629080532e-08 	 -9.27048227235770e-01   2.85316954889846e+00 	2.00348512494609e-06	 5.20167642631965e-05	-3.89617013709222e-11		1.00000000135488e+00
5.70000000000000e-01    	1.21388867300999e-07 	 -9.27046386396134e-01   2.85316954889703e+00 	2.98167198701632e-06	 7.12016521053704e-05	-5.63803853707459e-11		1.00000000253928e+00
6.00000000000000e-01    	2.27997271651136e-07 	 -9.27043927820631e-01   2.85316954889513e+00 	4.15730915189068e-06	 9.31070074787409e-05	-6.82011612392182e-11		1.00000000434310e+00
6.30000000000000e-01    	3.72603352033755e-07 	 -9.27040779905662e-01   2.85316954889311e+00 	5.50989357523529e-06	 1.17007327579718e-04	-6.22931273348377e-11		1.00000000686054e+00
6.60000000000000e-01    	5.59969527834834e-07 	 -9.27036898150560e-01   2.85316954889175e+00 	6.99963865078674e-06	 1.41818462129670e-04	-2.08566799241890e-11		1.00000001008074e+00
6.90000000000000e-01    	7.93352929374124e-07 	 -9.27032276054876e-01   2.85316954889244e+00 	8.56578899725099e-06	 1.66092334149052e-04	7.86654780064707e-11		1.00000001383002e+00
7.20000000000000e-01    	1.07386569675172e-06 	 -9.27026955803664e-01   2.85316954889729e+00 	1.01261332000927e-05	 1.88036922569270e-04	2.60804500936183e-10		1.00000001773021e+00
7.50000000000000e-01    	1.39984180234339e-06 	 -9.27021037938193e-01   2.85316954890913e+00 	1.15779627003666e-05	 2.05564258018228e-04	5.47205525320469e-10		1.00000002119536e+00
7.80000000000000e-01    	1.76625672479674e-06 	 -9.27014689149224e-01   2.85316954893130e+00 	1.28006601747400e-05	 2.16367648952905e-04	9.50005939689820e-10		1.00000002348941e+00
8.10000000000000e-01    	2.16425052187595e-06 	 -9.27008147319809e-01   2.85316954896726e+00 	1.36600114176280e-05	 2.18027566971324e-04	1.46443818731056e-09		1.00000002386131e+00
8.40000000000000e-01    	2.58080605042334e-06 	 -9.27001722990677e-01   2.85316954902001e+00 	1.40142234861417e-05	 2.08143667554261e-04	2.06234429536333e-09		1.00000002176009e+00
8.70000000000000e-01    	2.99863168070555e-06 	 -9.26995796527145e-01   2.85316954909129e+00 	1.37215041554937e-05	 1.84488412727159e-04	2.68883460300877e-09		1.00000001711213e+00
9.00000000000000e-01    	3.39629147639115e-06 	 -9.26990810432037e-01   2.85316954918083e+00 	1.26489221183454e-05	 1.45175814115715e-04	3.26450095897888e-09		1.00000001061801e+00
9.30000000000000e-01    	3.74861538786337e-06 	 -9.26987256470549e-01   2.85316954928571e+00 	1.06821352281160e-05	 8.88370531449734e-05	3.69521282591257e-09		1.00000000400306e+00
9.60000000000000e-01    	4.02740783609466e-06 	 -9.26985657543038e-01   2.85316954940018e+00 	7.73545872109523e-06	 1.47932830062150e-05	3.89046860447380e-09		1.00000000013934e+00
9.90000000000000e-01    	4.20245585607024e-06 	 -9.26986544549152e-01   2.85316954951616e+00 	3.76166040753569e-06	 -7.67851106159293e-05	3.78956255329115e-09		1.00000000295505e+00
1.02000000000000e+00    	4.24281882206288e-06 	 -9.26990428817389e-01   2.85316954962456e+00 	-1.23917270420137e-06	 -1.84744016788118e-04	3.39265024883020e-09		1.00000001706594e+00
1.05000000000000e+00    	4.11836209886022e-06 	 -9.26997771011122e-01   2.85316954971764e+00 	-7.21234384437203e-06	 -3.06847003764072e-04	2.79152193208376e-09		1.00000004710355e+00
1.08000000000000e+00    	3.80147832207541e-06 	 -9.27008947746418e-01   2.85316954979204e+00 	-1.40434185117878e-05	 -4.39723001606794e-04	2.19303673069568e-09		1.00000009677676e+00
1.11000000000000e+00    	3.26892394274099e-06 	 -9.27024217448896e-01   2.85316954985251e+00 	-2.15557364304599e-05	 -5.78869228049456e-04	1.92730906036822e-09		1.00000016777710e+00
1.14000000000000e+00    	2.50368646359542e-06 	 -9.27043687216397e-01   2.85316954991537e+00 	-2.95108951491392e-05	 -7.18716257614072e-04	2.43339493110295e-09		1.00000025871194e+00
1.17000000000000e+00    	1.49679028680399e-06 	 -9.27067282622751e-01   2.85316955001129e+00 	-3.76123726266244e-05	 -8.52759475645466e-04	4.21773175465785e-09		1.00000036430664e+00
1.20000000000000e+00    	2.48946539871370e-07 	 -9.27094722478884e-01   2.85316955018630e+00 	-4.55122938239321e-05	 -9.73757999774952e-04	7.78494872329064e-09		1.00000047513789e+00
1.23000000000000e+00    	-1.22804572234196e-06 	 -9.27125500547675e-01   2.85316955050040e+00 	-5.28212062016864e-05	 -1.07399861844666e-03	1.35464787486832e-08		1.00000057813139e+00
1.26000000000000e+00    	-2.91023383810486e-06 	 -9.27158876079496e-01   2.85316955102329e+00 	-5.91206262809898e-05	 -1.14561854681274e-03	2.17188224185574e-08		1.00000065796834e+00
1.29000000000000e+00    	-4.76086014746580e-06 	 -9.27193874792403e-01   2.85316955182703e+00 	-6.39780603320424e-05	 -1.18097701595680e-03	3.22291263031843e-08		1.00000069939971e+00
1.32000000000000e+00    	-6.73019435416355e-06 	 -9.27229301566450e-01   2.85316955297626e+00 	-6.69641814881180e-05	 -1.17306208979441e-03	4.46495291070117e-08		1.00000069027920e+00
1.35000000000000e+00    	-8.75590955664828e-06 	 -9.27263765663462e-01   2.85316955451723e+00 	-6.76718457330467e-05	 -1.11591585003360e-03	5.81821402320708e-08		1.00000062492364e+00
1.38000000000000e+00    	-1.07640523047407e-05 	 -9.27295718736051e-01   2.85316955646723e+00 	-6.57366229840093e-05	 -1.00505840515111e-03	7.17125448102505e-08		1.00000050723172e+00
1.41000000000000e+00    	-1.26706467985922e-05 	 -9.27323505272461e-01   2.85316955880696e+00 	-6.08584747200602e-05	 -8.37889252653486e-04	8.39410344952319e-08		1.00000035288102e+00
1.44000000000000e+00    	-1.43839608050083e-05 	 -9.27345424462303e-01   2.85316956147779e+00 	-5.28240965515180e-05	 -6.14043518765888e-04	9.35878933568495e-08		1.00000018991990e+00
1.47000000000000e+00    	-1.58074436501855e-05 	 -9.27359801791977e-01   2.85316956438623e+00 	-4.15292439598608e-05	 -3.35680645389811e-04	9.96535644812447e-08		1.00000005720309e+00
1.50000000000000e+00    	-1.68433220858993e-05 	 -9.27365068020374e-01   2.85316956741652e+00 	-2.70000723073676e-05	 -7.68427624184764e-06	1.01698836882061e-07		1.00000000039403e+00
1.53000000000000e+00    	-1.73968056133429e-05 	 -9.27359842580095e-01   2.85316957045136e+00 	-9.41217302069885e-06	 3.62245553288899e-04	1.00097397897916e-07		1.00000006565522e+00
1.56000000000000e+00    	-1.73808078297969e-05 	 -9.27343017931842e-01   2.85316957339912e+00 	1.08943720050790e-05	 7.63623317685325e-04	9.62064108231186e-08		1.00000029161959e+00
1.59000000000000e+00    	-1.67210352895454e-05 	 -9.27313841003302e-01   2.85316957622432e+00 	3.34058919244408e-05	 1.18334282435273e-03	9.24029497723341e-08		1.00000070070786e+00
