0.00000000000000e+00    	0.00000000000000e+00 	 -4.75528258150000e+00  	1.54508497190000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	8.22257026402566e-13 	 -4.75528258149595e+00   1.54508497190000e+00 	1.35810354345821e-10	 7.11489528180349e-10	6.60390143815696e-21		1.00000000000000e+00
6.00000000000000e-02    	2.49111657746634e-11 	 -4.75528258133712e+00   1.54508497190000e+00 	2.02216597849330e-09	 1.46328412437776e-08	9.06268008660138e-19		1.00000000000000e+00
9.00000000000000e-02    	1.75396987528703e-10 	 -4.75528258003360e+00   1.54508497190000e+00 	9.23596147692249e-09	 8.86988093042834e-08	-1.07240889703106e-17		1.00000000000000e+00
1.20000000000000e-01    	6.69069106003649e-10 	 -4.75528257446485e+00   1.54508497190000e+00 	2.53576431183752e-08	 3.19619978200177e-07	-5.53737482698207e-16		1.00000000000005e+00
1.50000000000000e-01    	1.79570476156709e-09 	 -4.75528255780618e+00   1.54508497190000e+00 	5.11667819028891e-08	 8.57024332458792e-07	-6.35705798223112e-15		1.00000000000037e+00
1.80000000000000e-01    	3.78767845854831e-09 	 -4.75528251806784e+00   1.54508497190000e+00 	8.15389117685077e-08	 1.89259390005043e-06	-4.09553325962982e-14		1.00000000000179e+00
2.10000000000000e-01    	6.59778886774710e-09 	 -4.75528243717817e+00   1.54508497190000e+00 	1.02510961529474e-07	 3.63471193610478e-06	-1.84665798027531e-13		1.00000000000661e+00
2.40000000000000e-01    	9.59770121816913e-09 	 -4.75528229103164e+00   1.54508497189999e+00 	8.90044156202311e-08	 6.26983830004863e-06	-6.46476916577065e-13		1.00000000001966e+00
2.70000000000000e-01    	1.12238217566755e-08 	 -4.75528205086045e+00   1.54508497189995e+00 	3.67043289138074e-09	 9.91351379133322e-06	-1.86464791469294e-12		1.00000000004914e+00
3.00000000000000e-01    	8.61039067145172e-09 	 -4.75528168617794e+00   1.54508497189986e+00 	-2.02750163197424e-07	 1.45554157444299e-05	-4.59971391811318e-12		1.00000000010595e+00
3.30000000000000e-01    	-2.74024024331117e-09 	 -4.75528116939031e+00   1.54508497189965e+00 	-5.89272819836619e-07	 2.00041123334559e-05	-9.94617836264581e-12		1.00000000020026e+00
3.60000000000000e-01    	-2.91939569711815e-08 	 -4.75528048198998e+00   1.54508497189922e+00 	-1.22059056509809e-06	 2.58379742306929e-05	-1.91667167392807e-11		1.00000000033455e+00
3.90000000000000e-01    	-7.90703077749798e-08 	 -4.75527962204476e+00   1.54508497189845e+00 	-2.16111346745068e-06	 3.13690077900150e-05	-3.32740459500297e-11		1.00000000049434e+00
4.20000000000000e-01    	-1.62523505930627e-07 	 -4.75527861249601e+00   1.54508497189718e+00 	-3.46735479803479e-06	 3.56261150718613e-05	-5.23760107975383e-11		1.00000000064062e+00
4.50000000000000e-01    	-2.91175164663063e-07 	 -4.75527750959537e+00   1.54508497189527e+00 	-5.17907749627981e-06	 3.73634422618501e-05	-7.49655124075800e-11		1.00000000071142e+00
4.80000000000000e-01    	-4.77469943488840e-07 	 -4.75527641065930e+00   1.54508497189268e+00 	-7.30978561488916e-06	 3.50980698949258e-05	-9.75525750800973e-11		1.00000000064265e+00
5.10000000000000e-01    	-7.33745074531616e-07 	 -4.75527546022090e+00   1.54508497188947e+00 	-9.83728993702613e-06	 2.71793877273732e-05	-1.15235876990647e-10		1.00000000041775e+00
5.40000000000000e-01    	-1.07102831843755e-06 	 -4.75527485362150e+00   1.54508497188586e+00 	-1.26951834056746e-05	 1.18901852043650e-05	-1.23897836576362e-10		1.00000000015127e+00
5.70000000000000e-01    	-1.49760497306636e-06 	 -4.75527483712247e+00   1.54508497188212e+00 	-1.57661201220070e-05	 -1.24230892621885e-05	-1.24573582316553e-10		1.00000000020145e+00
6.00000000000000e-01    	-2.01742153674481e-06 	 -4.75527570373364e+00   1.54508497187834e+00 	-1.88777925151976e-05	 -4.71961277633586e-05	-1.30109377461804e-10		1.00000000129192e+00
6.30000000000000e-01    	-2.62841967766368e-06 	 -4.75527778415136e+00   1.54508497187394e+00 	-2.18024374228588e-05	 -9.34764513825999e-05	-1.73479027483097e-10		1.00000000460660e+00
6.60000000000000e-01    	-3.32091725353350e-06 	 -4.75528143247011e+00   1.54508497186695e+00 	-2.42605678419563e-05	 -1.51747153726208e-04	-3.16161140178519e-10		1.00000001180789e+00
6.90000000000000e-01    	-4.07617111277985e-06 	 -4.75528700666582e+00   1.54508497185303e+00 	-2.59294206599140e-05	 -2.21756749013041e-04	-6.54009314132261e-10		1.00000002492419e+00
