0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.23585930198690e-13 	 5.87785252289336e-01   8.09016994370000e-01 	1.75580310571996e-11	 -1.16545971066211e-10	6.71505897328001e-21		1.00000000000000e+00
6.00000000000000e-02    	1.01759389587019e-12 	 5.87785252263320e-01   8.09016994370000e-01 	-1.34346878320355e-11	 -2.39694138488783e-09	2.20423428024044e-18		1.00000000000000e+00
9.00000000000000e-02    	-1.45842716306954e-11 	 5.87785252049796e-01   8.09016994370000e-01 	-1.54936204097538e-09	 -1.45293620619013e-08	6.61508613757096e-17		1.00000000000000e+00
1.20000000000000e-01    	-1.53727561944389e-10 	 5.87785251137603e-01   8.09016994370000e-01 	-9.43228723255338e-09	 -5.23555447930853e-08	7.19228315654660e-16		1.00000000000000e+00
1.50000000000000e-01    	-7.40078305941879e-10 	 5.87785248408819e-01   8.09016994370000e-01 	-3.34662117577154e-08	 -1.40385397956446e-07	4.37026653615306e-15		1.00000000000001e+00
1.80000000000000e-01    	-2.47669434906853e-09 	 5.87785241899456e-01   8.09016994370000e-01 	-8.91855134016968e-08	 -3.10017532608740e-07	1.79572775309537e-14		1.00000000000005e+00
2.10000000000000e-01    	-6.61636357067499e-09 	 5.87785228649272e-01   8.09016994370001e-01 	-1.97555618250717e-07	 -5.95386345741911e-07	5.49017263429155e-14		1.00000000000020e+00
2.40000000000000e-01    	-1.51048601939773e-08 	 5.87785204709643e-01   8.09016994370004e-01 	-3.83451088611980e-07	 -1.02703510906615e-06	1.30670934762562e-13		1.00000000000060e+00
2.70000000000000e-01    	-3.06596803365364e-08 	 5.87785165368233e-01   8.09016994370009e-01 	-6.72882721680500e-07	 -1.62389021154611e-06	2.42929630904624e-13		1.00000000000154e+00
3.00000000000000e-01    	-5.67480193900841e-08 	 5.87785105631145e-01   8.09016994370018e-01 	-1.08908319540527e-06	 -2.38426093487022e-06	3.28162493370365e-13		1.00000000000344e+00
3.30000000000000e-01    	-9.74331306106209e-08 	 5.87785020978341e-01   8.09016994370027e-01 	-1.64769932897733e-06	 -3.27678983354439e-06	1.95716525494637e-13		1.00000000000673e+00
3.60000000000000e-01    	-1.57067603431896e-07 	 5.87784908378154e-01   8.09016994370024e-01 	-2.35146675510161e-06	 -4.23241169364375e-06	-5.40941579295442e-13		1.00000000001172e+00
3.90000000000000e-01    	-2.39825029686722e-07 	 5.87784767514061e-01   8.09016994369983e-01 	-3.18484866526706e-06	 -5.13842913459396e-06	-2.49059131236969e-12		1.00000000001827e+00
4.20000000000000e-01    	-3.49077177026482e-07 	 5.87784602143971e-01   8.09016994369855e-01 	-4.10919432497561e-06	 -5.83577056991842e-06	-6.40063849260275e-12		1.00000000002547e+00
4.50000000000000e-01    	-4.86641079067697e-07 	 5.87784421482213e-01   8.09016994369572e-01 	-5.05900712655185e-06	 -6.12035807227837e-06	-1.28909175678014e-11		1.00000000003153e+00
4.80000000000000e-01    	-6.51938090111501e-07 	 5.87784241469758e-01   8.09016994369055e-01 	-5.93990036609394e-06	 -5.74928202993093e-06	-2.19604656565571e-11		1.00000000003417e+00
5.10000000000000e-01    	-8.41123520010990e-07 	 5.87784085781859e-01   8.09016994368241e-01 	-6.62875894411429e-06	 -4.45216645370746e-06	-3.22944441606109e-11		1.00000000003188e+00
5.40000000000000e-01    	-1.04625950867343e-06 	 5.87783986416300e-01   8.09016994367138e-01 	-6.97651728176933e-06	 -1.94772993958944e-06	-4.05113229868706e-11		1.00000000002623e+00
5.70000000000000e-01    	-1.25461393134120e-06 	 5.87783983711541e-01   8.09016994365891e-01 	-6.81381175179327e-06	 2.03487518753568e-06	-4.06244355843069e-11		1.00000000002528e+00
6.00000000000000e-01    	-1.44817312115641e-06 	 5.87784125663190e-01   8.09016994364866e-01 	-5.95957693695636e-06	 7.73080242000926e-06	-2.41075652113949e-11		1.00000000004764e+00
6.30000000000000e-01    	-1.60345508869300e-06 	 5.87784466439377e-01   8.09016994364711e-01 	-4.23243910281152e-06	 1.53116127473428e-05	1.90020300116551e-11		1.00000000012618e+00
6.60000000000000e-01    	-1.69170208353521e-06 	 5.87785064040007e-01   8.09016994366363e-01 	-1.46452994380248e-06	 2.48564046184767e-05	9.76125666210445e-11		1.00000000030999e+00
6.90000000000000e-01    	-1.67951656061784e-06 	 5.87785977099711e-01   8.09016994370965e-01 	2.48288668132743e-06	 3.63239467184077e-05	2.15595621223150e-10		1.00000000066280e+00
7.20000000000000e-01    	-1.52998311383923e-06 	 5.87787260896920e-01   8.09016994379635e-01 	7.70279719699412e-06	 4.95279942526496e-05	3.66624071186246e-10		1.00000000125618e+00
7.50000000000000e-01    	-1.20429142108548e-06 	 5.87788962698446e-01   8.09016994393079e-01 	1.42258358482890e-05	 6.41180499380740e-05	5.28671866368485e-10		1.00000000215675e+00
7.80000000000000e-01    	-6.63842870917567e-07 	 5.87791116636259e-01   8.09016994411051e-01 	2.20048408053855e-05	 7.95677685360041e-05	6.59556875368518e-10		1.00000000340762e+00
8.10000000000000e-01    	1.27212097148998e-07 	 5.87793738376235e-01   8.09016994431708e-01 	3.09017903218731e-05	 9.51729890280968e-05	6.95300704358167e-10		1.00000000500641e+00
8.40000000000000e-01    	1.19909585242569e-06 	 5.87796819893069e-01   8.09016994450993e-01 	4.06783480208944e-05	 1.10061010735671e-04	5.53148719375832e-10		1.00000000688408e+00
8.70000000000000e-01    	2.57331056496029e-06 	 5.87800324706680e-01   8.09016994462192e-01 	5.09911760606912e-05	 1.23212217579358e-04	1.40684492163662e-10		1.00000000889068e+00
9.00000000000000e-01    	4.25948895393231e-06 	 5.87804183959272e-01   8.09016994455858e-01 	6.13930233282004e-05	 1.33494516586922e-04	-6.28497287577467e-10		1.00000001079494e+00
9.30000000000000e-01    	6.25237435206427e-06 	 5.87808293715366e-01   8.09016994420306e-01 	7.13403642387186e-05	 1.39710320093665e-04	-1.81358955982778e-09		1.00000001230421e+00
9.60000000000000e-01    	8.52913450698857e-06 	 5.87812513847098e-01   8.09016994342778e-01 	8.02080585274726e-05	 1.40655001306384e-04	-3.42270318541923e-09		1.00000001310858e+00
9.90000000000000e-01    	1.10472222787010e-05 	 5.87816668822661e-01   8.09016994211322e-01 	8.73111350557617e-05	 1.35184931959838e-04	-5.39101279494368e-09		1.00000001294910e+00
1.02000000000000e+00    	1.37429933751398e-05 	 5.87820550646967e-01   8.09016994017211e-01 	9.19333894233437e-05	 1.22292415064307e-04	-7.56696375518106e-09		1.00000001170359e+00
1.05000000000000e+00    	1.65312754182856e-05 	 5.87823924111922e-01   8.09016993757581e-01 	9.33620466323203e-05	 1.01184103647271e-04	-9.71298939974890e-09		1.00000000947735e+00
1.08000000000000e+00    	1.93060535424716e-05 	 5.87826534402054e-01   8.09016993437752e-01 	9.09273000315101e-05	 7.13588957805414e-05	-1.15262091048857e-08		1.00000000667993e+00
1.11000000000000e+00    	2.19423957354251e-05 	 5.87828116973984e-01   8.09016993072596e-01 	8.40451221478664e-05	 3.26808616385099e-05	-1.26819879658720e-08		1.00000000406581e+00
1.14000000000000e+00    	2.42996873688180e-05 	 5.87828409490859e-01   8.09016992686260e-01 	7.22613781421433e-05	 -1.45574714478488e-05	-1.28991160009345e-08		1.00000000271681e+00
1.17000000000000e+00    	2.62261807341072e-05 	 5.87827165452164e-01   8.09016992309680e-01 	5.52949837023727e-05	 -6.95861445759889e-05	-1.20201656154269e-08		1.00000000394988e+00
1.20000000000000e+00    	2.75647945238054e-05 	 5.87824169022459e-01   8.09016991975605e-01 	3.30776585695707e-05	 -1.31127511471385e-04	-1.00951480694866e-08		1.00000000914428e+00
1.23000000000000e+00    	2.81600233096445e-05 	 5.87819250437619e-01   8.09016991711259e-01 	5.78775257537260e-06	 -1.97388585241448e-04	-7.45204753770222e-09		1.00000001949788e+00
1.26000000000000e+00    	2.78657418578017e-05 	 5.87812301261671e-01   8.09016991529321e-01 	-2.61243245408988e-05	 -2.66079089163502e-04	-4.73542389512875e-09		1.00000003574028e+00
1.29000000000000e+00    	2.65536175548870e-05 	 5.87803288689115e-01   8.09016991418450e-01 	-6.19213492304181e-05	 -3.34457290682978e-04	-2.89518080161648e-09		1.00000005784796e+00
1.32000000000000e+00    	2.41217803406527e-05 	 5.87792268043158e-01   8.09016991335067e-01 	-1.00577163047389e-04	 -3.99404467840239e-04	-3.11253127674595e-09		1.00000008481984e+00
1.35000000000000e+00    	2.05033472694232e-05 	 5.87779392615407e-01   8.09016991198370e-01 	-1.40788692376097e-04	 -4.57527464922137e-04	-6.65923249899486e-09		1.00000011457641e+00
1.38000000000000e+00    	1.56743617415298e-05 	 5.87764920031134e-01   8.09016990890473e-01 	-1.81003055898308e-04	 -5.05287296236970e-04	-1.46985311102852e-08		1.00000014403867e+00
1.41000000000000e+00    	9.66068864522762e-06 	 5.87749214408516e-01   8.09016990263139e-01 	-2.19460052887169e-04	 -5.39150220536123e-04	-2.80502903987227e-08		1.00000016942282e+00
1.44000000000000e+00    	2.54340856186873e-06 	 5.87732743710257e-01   8.09016989151656e-01 	-2.54249602749976e-04	 -5.55756208380545e-04	-4.69560259958946e-08		1.00000018675390e+00
1.47000000000000e+00    	-5.53772152908282e-06 	 5.87716071859510e-01   8.09016987395210e-01 	-2.83382942266339e-04	 -5.52098339990878e-04	-7.08891758592633e-08		1.00000019255922e+00
1.50000000000000e+00    	-1.43831261633594e-05 	 5.87699845404312e-01   8.09016984861658e-01 	-3.04875611914955e-04	 -5.25705482358557e-04	-9.84590320668065e-08		1.00000018465768e+00
