0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	-3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-5.29080565163972e-13 	 9.51056516301367e-01   -3.09016994370000e-01 	-8.61202889261369e-11	 2.30848384612576e-10	1.02273407147043e-20		1.00000000000000e+00
6.00000000000000e-02    	-1.48190221300275e-11 	 9.51056516346296e-01   -3.09016994370000e-01 	-1.16031400144776e-09	 3.93038568714024e-09	3.17772472378751e-18		1.00000000000000e+00
9.00000000000000e-02    	-9.46870534334747e-11 	 9.51056516664986e-01   -3.09016994370000e-01 	-4.63920043296557e-09	 2.06211019697883e-08	9.27637307219034e-17		1.00000000000000e+00
1.20000000000000e-01    	-3.17658815708391e-10 	 9.51056517868264e-01   -3.09016994370000e-01 	-1.04388713246719e-08	 6.59065203307511e-08	9.99285121759312e-16		1.00000000000000e+00
1.50000000000000e-01    	-7.07217874020988e-10 	 9.51056521096583e-01   -3.09016994370000e-01 	-1.46578176739805e-08	 1.58881475606138e-07	6.11136901689609e-15		1.00000000000001e+00
1.80000000000000e-01    	-1.08535928200647e-09 	 9.51056528060149e-01   -3.09016994370000e-01 	-7.44590468675213e-09	 3.17515484515653e-07	2.57059329909308e-14		1.00000000000005e+00
2.10000000000000e-01    	-8.68838546186175e-10 	 9.51056540915288e-01   -3.09016994369998e-01 	2.85557827626901e-08	 5.52445351326499e-07	8.22771677345148e-14		1.00000000000015e+00
2.40000000000000e-01    	1.16836287960839e-09 	 9.51056561938820e-01   -3.09016994369994e-01 	1.18853323537705e-07	 8.59844366021520e-07	2.12394702786197e-13		1.00000000000038e+00
2.70000000000000e-01    	7.13427363864849e-09 	 9.51056592985074e-01   -3.09016994369984e-01 	2.96535845339243e-07	 1.21421507459139e-06	4.57655160771994e-13		1.00000000000078e+00
3.00000000000000e-01    	2.02208248004481e-08 	 9.51056634737430e-01   -3.09016994369965e-01 	6.00330223063744e-07	 1.56206336260188e-06	8.38832024317281e-13		1.00000000000140e+00
