0.00000000000000e+00    	0.00000000000000e+00 	 2.42705098310000e+00  	-1.76335575690000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.51446227295034e-12 	 2.42705098312717e+00   -1.76335575690000e+00 	4.01933610319942e-10	 4.64850035059047e-09	1.35625154628550e-18		1.00000000000000e+00
6.00000000000000e-02    	6.34027133289002e-11 	 2.42705098407650e+00   -1.76335575690000e+00 	4.69672608884830e-09	 8.46662632345602e-08	3.63693160868945e-16		1.00000000000000e+00
9.00000000000000e-02    	3.44505399079203e-10 	 2.42705099119807e+00   -1.76335575690000e+00 	1.44795408095491e-08	 4.70350016241479e-07	9.12322708805937e-15		1.00000000000011e+00
1.20000000000000e-01    	8.54528711636727e-10 	 2.42705101950529e+00   -1.76335575690000e+00 	1.54906830716202e-08	 1.58247022208610e-06	8.30119447510897e-14		1.00000000000125e+00
1.50000000000000e-01    	7.59039109357319e-10 	 2.42705109921756e+00   -1.76335575689999e+00 	-3.63685868870865e-08	 4.00450390937041e-06	4.13713950745245e-13		1.00000000000802e+00
1.80000000000000e-01    	-2.68895495349026e-09 	 2.42705127949946e+00   -1.76335575689997e+00 	-2.25935178255546e-07	 8.39704842129159e-06	1.32006993570496e-12		1.00000000003528e+00
2.10000000000000e-01    	-1.54697031728181e-08 	 2.42705162881600e+00   -1.76335575689991e+00 	-6.84281107669540e-07	 1.53591905073250e-05	2.71725185128592e-12		1.00000000011819e+00
2.40000000000000e-01    	-4.81771646867583e-08 	 2.42705223047026e+00   -1.76335575689982e+00 	-1.58693700910964e-06	 2.52484296166458e-05	2.40195152286787e-12		1.00000000032000e+00
2.70000000000000e-01    	-1.17220912680482e-07 	 2.42705317233134e+00   -1.76335575689986e+00 	-3.14362696769641e-06	 3.79768455407916e-05	-7.32089200371779e-12		1.00000000072606e+00
3.00000000000000e-01    	-2.45586642421639e-07 	 2.42705453036765e+00   -1.76335575690053e+00 	-5.57911447584737e-06	 5.28060152512889e-05	-4.41951930249631e-11		1.00000000140980e+00
3.30000000000000e-01    	-4.62893902780220e-07 	 2.42705634632641e+00   -1.76335575690309e+00 	-9.10566707619909e-06	 6.81662582014280e-05	-1.39511663542390e-10		1.00000000236478e+00
3.60000000000000e-01    	-8.04518837542873e-07 	 2.42705860068806e+00   -1.76335575690991e+00 	-1.38885732685819e-05	 8.15267737969635e-05	-3.36189333571127e-10		1.00000000341975e+00
3.90000000000000e-01    	-1.30960601115703e-06 	 2.42706118280730e+00   -1.76335575692470e+00 	-2.00070155555518e-05	 8.93419206106328e-05	-6.75697159396449e-10		1.00000000419113e+00
4.20000000000000e-01    	-2.01787412272036e-06 	 2.42706386086086e+00   -1.76335575695202e+00 	-2.74133527822208e-05	 8.70952250898831e-05	-1.16887802495410e-09		1.00000000416854e+00
4.50000000000000e-01    	-2.96522114458352e-06 	 2.42706625478671e+00   -1.76335575699575e+00 	-3.58944419892785e-05	 6.94568166059537e-05	-1.75007604206454e-09		1.00000000305633e+00
4.80000000000000e-01    	-4.17824941504920e-06 	 2.42706781575700e+00   -1.76335575705599e+00 	-4.50389987878218e-05	 3.05621499299238e-05	-2.22234365561485e-09		1.00000000148128e+00
5.10000000000000e-01    	-5.66795382989942e-06 	 2.42706781582618e+00   -1.76335575712434e+00 	-5.42151311318124e-05	 -3.55894669785485e-05	-2.21289198723713e-09		1.00000000210295e+00
5.40000000000000e-01    	-7.42293922059610e-06 	 2.42706535119806e+00   -1.76335575717846e+00 	-6.25620638334596e-05	 -1.34628303800432e-04	-1.16940760868388e-09		1.00000001101940e+00
