0.00000000000000e+00    	0.00000000000000e+00 	 -2.85316954890000e+00  	-9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	5.20338064125120e-12 	 -2.85316954889256e+00   -9.27050983120000e-01 	8.73878217023974e-10	 1.07594465870987e-09	-2.01322193299349e-19		1.00000000000000e+00
6.00000000000000e-02    	1.71442624447994e-10 	 -2.85316954882043e+00   -9.27050983120000e-01 	1.44029660308654e-08	 1.32486815020893e-09	-1.14544036095189e-17		1.00000000000000e+00
9.00000000000000e-02    	1.31719287968394e-09 	 -2.85316954950252e+00   -9.27050983120000e-01 	7.33150489881601e-08	 -7.35035816728540e-08	4.07045367321017e-16		1.00000000000001e+00
1.20000000000000e-01    	5.52106537893558e-09 	 -2.85316955644291e+00   -9.27050983120000e-01 	2.27499580864701e-07	 -4.78668675444995e-07	7.09515452349546e-15		1.00000000000014e+00
1.50000000000000e-01    	1.64754930203082e-08 	 -2.85316958665334e+00   -9.27050983119999e-01 	5.32105484049340e-07	 -1.73754535896453e-06	3.48996174344535e-14		1.00000000000165e+00
1.80000000000000e-01    	3.93862783493448e-08 	 -2.85316967748741e+00   -9.27050983119998e-01 	1.02943411742111e-06	 -4.68584303312379e-06	1.22200633751138e-14		1.00000000001151e+00
2.10000000000000e-01    	8.02599300144846e-08 	 -2.85316989597202e+00   -9.27050983120006e-01 	1.72662934048718e-06	 -1.04585662029578e-05	-7.47425256875086e-13		1.00000000005618e+00
2.40000000000000e-01    	1.44491609820894e-07 	 -2.85317034677103e+00   -9.27050983120078e-01 	2.57185656882140e-06	 -2.04109455463950e-05	-5.16412633868113e-12		1.00000000021161e+00
2.70000000000000e-01    	2.34754855557268e-07 	 -2.85317117675251e+00   -9.27050983120435e-01 	3.43212575338910e-06	 -3.59713521184439e-05	-2.19396152385829e-11		1.00000000065286e+00
3.00000000000000e-01    	3.48292405327604e-07 	 -2.85317257418182e+00   -9.27050983121717e-01 	4.07609777447037e-06	 -5.84316548467876e-05	-7.15708143279465e-11		1.00000000171544e+00
3.30000000000000e-01    	4.73806572946704e-07 	 -2.85317476084026e+00   -9.27050983125452e-01 	4.16509071016621e-06	 -8.86880028823316e-05	-1.94291316153604e-10		1.00000000394145e+00
3.60000000000000e-01    	5.88238382756025e-07 	 -2.85317797586515e+00   -9.27050983134770e-01 	3.25506986834817e-06	 -1.26951992799468e-04	-4.57559201989752e-10		1.00000000806370e+00
3.90000000000000e-01    	6.53798107649723e-07 	 -2.85318245079697e+00   -9.27050983155275e-01 	8.11689829466844e-07	 -1.72458013923067e-04	-9.58576363933464e-10		1.00000001487121e+00
4.20000000000000e-01    	6.15658193549084e-07 	 -2.85318837616021e+00   -9.27050983195847e-01 	-3.76049031276269e-06	 -2.23196708369542e-04	-1.81590440842551e-09		1.00000002491546e+00
4.50000000000000e-01    	4.00736860540341e-07 	 -2.85319586083842e+00   -9.27050983268960e-01 	-1.10746066251621e-05	 -2.75706488089800e-04	-3.14486362356993e-09		1.00000003806836e+00
4.80000000000000e-01    	-8.20167832180876e-08 	 -2.85320488646189e+00   -9.27050983389987e-01 	-2.17050884349224e-05	 -3.24954603111834e-04	-5.01527402631730e-09		1.00000005303330e+00
5.10000000000000e-01    	-9.39478970688844e-07 	 -2.85321525993201e+00   -9.27050983575047e-01 	-3.61206475361391e-05	 -3.64336194839300e-04	-7.39770397402338e-09		1.00000006702278e+00
5.40000000000000e-01    	-2.29008109971189e-06 	 -2.85322656798082e+00   -9.27050983837254e-01 	-5.46102132807597e-05	 -3.85814111358376e-04	-1.01148968354725e-08		1.00000007591740e+00
5.70000000000000e-01    	-4.25726834441125e-06 	 -2.85323813823211e+00   -9.27050984181921e-01 	-7.72064357227952e-05	 -3.80214203636638e-04	-1.28259579873944e-08		1.00000007526183e+00
6.00000000000000e-01    	-6.96069528491236e-06 	 -2.85324901152548e+00   -9.27050984602214e-01 	-1.03612311637911e-04	 -3.37680731877476e-04	-1.50781947909435e-08		1.00000006238189e+00
6.30000000000000e-01    	-1.05053452394985e-05 	 -2.85325793023239e+00   -9.27050985077812e-01 	-1.33137241755596e-04	 -2.48284918005647e-04	-1.64604377932331e-08		1.00000003968546e+00
6.60000000000000e-01    	-1.49689575930746e-05 	 -2.85326334689923e+00   -9.27050985579962e-01 	-1.64649338382393e-04	 -1.02767244322433e-04	-1.68780249708109e-08		1.00000001883526e+00
6.90000000000000e-01    	-2.03883555769710e-05 	 -2.85326345678198e+00   -9.27050986086565e-01 	-1.96550976205529e-04	 1.06618418721501e-04	-1.69414413762831e-08		1.00000002499989e+00
7.20000000000000e-01    	-2.67454737180443e-05 	 -2.85325625670023e+00   -9.27050986610064e-01 	-2.26784287379568e-04	 3.85202547309955e-04	-1.84197696887709e-08		1.00000009990605e+00
7.50000000000000e-01    	-3.39540733791270e-05 	 -2.85323963116985e+00   -9.27050987238778e-01 	-2.52872395845597e-04	 7.34993442041056e-04	-2.46633859645732e-08		1.00000030207986e+00
7.80000000000000e-01    	-4.18482858474449e-05 	 -2.85321146503338e+00   -9.27050988188781e-01 	-2.72000524717258e-04	 1.15382811392760e-03	-4.08592551954024e-08		1.00000070265155e+00
8.10000000000000e-01    	-5.01742111236705e-05 	 -2.85316977987855e+00   -9.27050989858962e-01 	-2.81138607590298e-04	 1.63464687863583e-03	-7.39614640981904e-08		1.00000137555372e+00
8.40000000000000e-01    	-5.85858015773466e-05 	 -2.85311288952235e+00   -9.27050992877297e-01 	-2.77203708898548e-04	 2.16495881795418e-03	-1.32154126625272e-07		1.00000238194146e+00
8.70000000000000e-01    	-6.66461503748340e-05 	 -2.85303956786149e+00   -9.27050998122837e-01 	-2.57256582452202e-04	 2.72656189353757e-03	-2.23764316987960e-07		1.00000375015335e+00
9.00000000000000e-01    	-7.38350703252669e-05 	 -2.85294922058194e+00   -9.27051006707010e-01 	-2.18722424031881e-04	 3.29557365008122e-03	-3.55651497557469e-07		1.00000545430778e+00
9.30000000000000e-01    	-7.95634881038470e-05 	 -2.85284205071559e+00   -9.27051019900705e-01 	-1.59621828934483e-04	 3.84281614107674e-03	-5.31247090894712e-07		1.00000739633030e+00
9.60000000000000e-01    	-8.31947081263965e-05 	 -2.85271920696182e+00   -9.27051039001305e-01 	-7.87947940971493e-05	 4.33458225968251e-03	-7.48579688143300e-07		1.00000939736212e+00
9.90000000000000e-01    	-8.40720561759866e-05 	 -2.85258290317251e+00   -9.27051065146084e-01 	2.39010264183686e-05	 4.73379067680534e-03	-9.98761943585743e-07		1.00001120461044e+00
1.02000000000000e+00    	-8.15518504661564e-05 	 -2.85243649752175e+00   -9.27051099094021e-01 	1.47436140042700e-04	 5.00151399351166e-03	-1.26549150929474e-06		1.00001251836227e+00
1.05000000000000e+00    	-7.50401354492122e-05 	 -2.85228452070726e+00   -9.27051141014537e-01 	2.89514582438751e-04	 5.09884068049208e-03	-1.52608903832359e-06		1.00001304091362e+00
1.08000000000000e+00    	-6.40312227391779e-05 	 -2.85213264407780e+00   -9.27051190335231e-01 	4.46549154686071e-04	 4.98900726958426e-03	-1.75443232617704e-06		1.00001254472270e+00
1.11000000000000e+00    	-4.81458755431902e-05 	 -2.85198758082755e+00   -9.27051245707238e-01 	6.13709954210723e-04	 4.63971454514244e-03	-1.92584127787078e-06		1.00001095173737e+00
1.14000000000000e+00    	-2.71669857948470e-05 	 -2.85185691627975e+00   -9.27051305142401e-01 	7.85041974764024e-04	 4.02552161255171e-03	-2.02354924614879e-06		1.00000841052426e+00
1.17000000000000e+00    	-1.07082907158524e-06 	 -2.85174886669362e+00   -9.27051366358486e-01 	9.53640484683536e-04	 3.13019604431889e-03	-2.04592248146532e-06		1.00000535376649e+00
1.20000000000000e+00    	2.99475984711007e-05 	 -2.85167196983376e+00   -9.27051427336691e-01 	1.11186785675425e-03	 1.94888797490780e-03	-2.01315118202913e-06		1.00000251720609e+00
1.23000000000000e+00    	6.54561353874846e-05 	 -2.85163471457527e+00   -9.27051487052536e-01 	1.25159379275723e-03	 4.89991937463416e-04	-1.97184089871357e-06		1.00000090329110e+00
1.26000000000000e+00    	1.04774364513475e-04 	 -2.85164512089250e+00   -9.27051546292624e-01 	1.36444324689990e-03	 -1.22343697076760e-03	-1.99588803212751e-06		1.00000167925228e+00
1.29000000000000e+00    	1.46969959563824e-04 	 -2.85171028548849e+00   -9.27051608424639e-01 	1.44204281976017e-03	 -3.15283602377205e-03	-2.18230832512275e-06		1.00000600991556e+00
1.32000000000000e+00    	1.90862414605001e-04 	 -2.85183591184418e+00   -9.27051679956769e-01 	1.47626603747188e-03	 -5.24396316115420e-03	-2.64133321751356e-06		1.00001483914891e+00
1.35000000000000e+00    	2.35034275181411e-04 	 -2.85202584637230e+00   -9.27051770716034e-01 	1.45948886601921e-03	 -7.42748289322682e-03	-3.48105742033144e-06		1.00002864840063e+00
1.38000000000000e+00    	2.77850472552551e-04 	 -2.85228164442953e+00   -9.27051893500863e-01 	1.38487640142014e-03	 -9.62036196101631e-03	-4.78809630238825e-06		1.00004723351941e+00
1.41000000000000e+00    	3.17487071257426e-04 	 -2.85260219097362e+00   -9.27052063125323e-01 	1.24672694556383e-03	 -1.17280918228150e-02	-6.60690634392865e-06		1.00006954883625e+00
1.44000000000000e+00    	3.51971506272781e-04 	 -2.85298340050723e+00   -9.27052294867654e-01 	1.04089788465386e-03	 -1.36477165099415e-02	-8.92139958120865e-06		1.00009366747017e+00
1.47000000000000e+00    	3.79236972131294e-04 	 -2.85341801955418e+00   -9.27052602453899e-01 	7.65327087118565e-04	 -1.52716041886324e-02	-1.16429955532116e-05		1.00011689704534e+00
