0.00000000000000e+00    	0.00000000000000e+00 	 -8.09016994370000e-01  	5.87785252290000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-1.36130418563557e-12 	 -8.09016994376536e-01   5.87785252290000e-01 	-2.26587274816915e-10	 -1.11817972029638e-09	-3.26071842100523e-20		1.00000000000000e+00
6.00000000000000e-02    	-4.29078124711522e-11 	 -8.09016994604893e-01   5.87785252290000e-01 	-3.54171353950486e-09	 -2.03661594270694e-08	-1.54435638142903e-17		1.00000000000000e+00
9.00000000000000e-02    	-3.15395677155432e-10 	 -8.09016996317960e-01   5.87785252290000e-01 	-1.70852740280598e-08	 -1.13140976167677e-07	-5.89343251207032e-16		1.00000000000001e+00
1.20000000000000e-01    	-1.26303110497225e-09 	 -8.09017003127160e-01   5.87785252290000e-01 	-5.00715311427020e-08	 -3.80657444977958e-07	-7.75805261072945e-15		1.00000000000007e+00
1.50000000000000e-01    	-3.58987930066341e-09 	 -8.09017022301657e-01   5.87785252289999e-01 	-1.09851188988403e-07	 -9.63268896001508e-07	-5.60035487092611e-14		1.00000000000047e+00
1.80000000000000e-01    	-8.13142602414192e-09 	 -8.09017065667814e-01   5.87785252289995e-01 	-1.96957275128056e-07	 -2.01987969622010e-06	-2.73021933759617e-13		1.00000000000206e+00
2.10000000000000e-01    	-1.55703348436919e-08 	 -8.09017149694650e-01   5.87785252289978e-01 	-2.99792441467262e-07	 -3.69459789985131e-06	-1.00461359346318e-12		1.00000000000687e+00
2.40000000000000e-01    	-2.59968764411348e-08 	 -8.09017294420406e-01   5.87785252289923e-01 	-3.89718363428780e-07	 -6.07341801369805e-06	-2.97985130225566e-12		1.00000000001852e+00
2.70000000000000e-01    	-3.83380307875057e-08 	 -8.09017520981635e-01   5.87785252289775e-01 	-4.17342840443265e-07	 -9.13518942247284e-06	-7.42595767769896e-12		1.00000000004181e+00
3.00000000000000e-01    	-4.97027310695448e-08 	 -8.09017847652152e-01   5.87785252289436e-01 	-3.10760936538726e-07	 -1.27022848407045e-05	-1.59693559284969e-11		1.00000000008072e+00
