0.00000000000000e+00    	0.00000000000000e+00 	 1.76335575690000e+00  	-2.42705098310000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-4.53031359683071e-13 	 1.76335575690949e+00   -2.42705098310000e+00 	-7.60715342787514e-11	 1.60360649419792e-09	3.24268981419829e-20		1.00000000000000e+00
6.00000000000000e-02    	-1.49146695286978e-11 	 1.76335575722160e+00   -2.42705098310000e+00 	-1.25260043974598e-09	 2.73027338828628e-08	1.02723009844256e-17		1.00000000000000e+00
9.00000000000000e-02    	-1.14501619078592e-10 	 1.76335575943540e+00   -2.42705098310000e+00 	-6.37027810091932e-09	 1.43246109815505e-07	3.04432713128640e-16		1.00000000000001e+00
1.20000000000000e-01    	-4.79574744319455e-10 	 1.76335576779406e+00   -2.42705098310000e+00 	-1.97490603639549e-08	 4.57824838545057e-07	3.32153092405381e-15		1.00000000000011e+00
1.50000000000000e-01    	-1.42999815469998e-09 	 1.76335579021984e+00   -2.42705098310000e+00 	-4.61465782629965e-08	 1.10368270553189e-06	2.05481258980369e-14		1.00000000000061e+00
1.80000000000000e-01    	-3.41574636472499e-09 	 1.76335583859280e+00   -2.42705098310000e+00 	-8.91795995763333e-08	 2.20564641639655e-06	8.73823402165507e-14		1.00000000000244e+00
2.10000000000000e-01    	-6.95420393952017e-09 	 1.76335592789204e+00   -2.42705098309999e+00 	-1.49383365783933e-07	 3.83760547829468e-06	2.82788544554095e-13		1.00000000000737e+00
2.40000000000000e-01    	-1.25066853052080e-08 	 1.76335607393368e+00   -2.42705098309998e+00 	-2.22143391391938e-07	 5.97297753683181e-06	7.38615379760232e-13		1.00000000001786e+00
2.70000000000000e-01    	-2.02943984952186e-08 	 1.76335628959897e+00   -2.42705098309995e+00 	-2.95774529647041e-07	 8.43464268535827e-06	1.61259689567541e-12		1.00000000003562e+00
3.00000000000000e-01    	-3.00626272194165e-08 	 1.76335657963509e+00   -2.42705098309988e+00 	-3.50038230322950e-07	 1.08509996134740e-05	3.00224842114144e-12		1.00000000005893e+00
3.30000000000000e-01    	-4.08105407156385e-08 	 1.76335693431538e+00   -2.42705098309976e+00 	-3.55378125744359e-07	 1.26249997748466e-05	4.80805007085464e-12		1.00000000007976e+00
3.60000000000000e-01    	-5.05119378422864e-08 	 1.76335732244684e+00   -2.42705098309959e+00 	-2.73115766264743e-07	 1.29226044790304e-05	6.61975029557656e-12		1.00000000008353e+00
3.90000000000000e-01    	-5.58585868447240e-08 	 1.76335768439215e+00   -2.42705098309937e+00 	-5.67843658369823e-08	 1.06860790005603e-05	7.78891208899953e-12		1.00000000005710e+00
4.20000000000000e-01    	-5.20619253390868e-08 	 1.76335792591301e+00   -2.42705098309913e+00 	3.45306826656392e-07	 4.67592788598216e-06	7.93194241005024e-12		1.00000000001099e+00
4.50000000000000e-01    	-3.27501900090785e-08 	 1.76335791372537e+00   -2.42705098309889e+00 	9.86285003161416e-07	 -6.45682863363356e-06	8.13037162199753e-12		1.00000000002133e+00
4.80000000000000e-01    	1.00037789527930e-08 	 1.76335747367174e+00   -2.42705098309860e+00 	1.91581778676793e-06	 -2.40688107323242e-05	1.30036667706414e-11		1.00000000029149e+00
5.10000000000000e-01    	8.54938600398311e-08 	 1.76335639235246e+00   -2.42705098309796e+00 	3.17432971121350e-06	 -4.93963250670012e-05	3.35860693854672e-11		1.00000000122504e+00
5.40000000000000e-01    	2.04009031434040e-07 	 1.76335442291352e+00   -2.42705098309622e+00 	4.78665040295525e-06	 -8.34074689204308e-05	9.05470676616043e-11		1.00000000348986e+00
5.70000000000000e-01    	3.76267628050352e-07 	 1.76335129546438e+00   -2.42705098309184e+00 	6.75549829234366e-06	 -1.26643000268074e-04	2.16822020691649e-10		1.00000000804204e+00
6.00000000000000e-01    	6.12659463157943e-07 	 1.76334673230463e+00   -2.42705098308207e+00 	9.05527102472618e-06	 -1.79056851432192e-04	4.58299937692210e-10		1.00000001607168e+00
6.30000000000000e-01    	9.22312708138213e-07 	 1.76334046778586e+00   -2.42705098306263e+00 	1.16266617068210e-05	 -2.39868775875436e-04	8.71034957941523e-10		1.00000002883610e+00
6.60000000000000e-01    	1.31201845775734e-06 	 1.76333227224542e+00   -2.42705098302750e+00 	1.43726471147384e-05	 -3.07442507722811e-04	1.51370067312591e-09		1.00000004736373e+00
6.90000000000000e-01    	1.78506240873074e-06 	 1.76332197904423e+00   -2.42705098296901e+00 	1.71563975439324e-05	 -3.79202853759729e-04	2.43483244580832e-09		1.00000007204457e+00
7.20000000000000e-01    	2.34002928030782e-06 	 1.76330951334939e+00   -2.42705098287840e+00 	1.98016334637461e-05	 -4.51604246107889e-04	3.65581994344103e-09		1.00000010216924e+00
7.50000000000000e-01    	2.96966056003308e-06 	 1.76329492095171e+00   -2.42705098274689e+00 	2.20958940927301e-05	 -5.20161432881788e-04	5.15245846654115e-09		1.00000013552806e+00
7.80000000000000e-01    	3.65985865726908e-06 	 1.76327839512753e+00   -2.42705098256732e+00 	2.37970776701802e-05	 -5.79550205494794e-04	6.83977953964322e-09		1.00000016822236e+00
8.10000000000000e-01    	4.38893907845211e-06 	 1.76326029936953e+00   -2.42705098233609e+00 	2.46434524760796e-05	 -6.23782447556989e-04	8.56632253668595e-09		1.00000019485590e+00
8.40000000000000e-01    	5.12723502198343e-06 	 1.76324118374554e+00   -2.42705098205502e+00 	2.43671145266260e-05	 -6.46455493326722e-04	1.01243617656930e-08		1.00000020924921e+00
8.70000000000000e-01    	5.83715393650615e-06 	 1.76322179271568e+00   -2.42705098173265e+00 	2.27105826782676e-05	 -6.41071009025289e-04	1.12813123990484e-08		1.00000020574388e+00
9.00000000000000e-01    	6.47377137769722e-06 	 1.76320306245636e+00   -2.42705098138421e+00 	1.94458865192065e-05	 -6.01413608422643e-04	1.18342882471550e-08		1.00000018103822e+00
9.30000000000000e-01    	6.98602278939120e-06 	 1.76318610610813e+00   -2.42705098102968e+00 	1.43951433310556e-05	 -5.21974468279296e-04	1.16846678027506e-08		1.00000013633227e+00
9.60000000000000e-01    	7.31851849698802e-06 	 1.76317218587639e+00   -2.42705098068934e+00 	7.45127885682884e-06	 -3.98400621352952e-04	1.09231595127638e-08		1.00000007938929e+00
9.90000000000000e-01    	7.41396253313830e-06 	 1.76316267155442e+00   -2.42705098037692e+00 	-1.40272438991842e-06	 -2.27946679120001e-04	9.90939927763599e-09		1.00000002598083e+00
1.02000000000000e+00    	7.21610489705157e-06 	 1.76315898578303e+00   -2.42705098009060e+00 	-1.20778103554928e-05	 -9.90276313593792e-06	9.32514011613897e-09		1.00000000012197e+00
1.05000000000000e+00    	6.67310413027482e-06 	 1.76316253717734e+00   -2.42705097980313e+00 	-2.43677860562098e-05	 2.54029338124277e-04	1.01783446407793e-08		1.00000003256235e+00
