0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-5.46249313057837e-13 	 -9.27050983130642e-01   2.85316954890000e+00 	-9.12360217396297e-11	 -1.78154530075999e-09	-2.27068651310395e-20		1.00000000000000e+00
6.00000000000000e-02    	-1.75170874540513e-11 	 -9.27050983465206e-01   2.85316954890000e+00 	-1.45604227186573e-09	 -2.88252812192776e-08	-6.93412899791607e-18		1.00000000000000e+00
9.00000000000000e-02    	-1.31056379396120e-10 	 -9.27050985732447e-01   2.85316954890000e+00 	-7.17846838758453e-09	 -1.44099651690533e-07	-1.98161573232491e-16		1.00000000000001e+00
1.20000000000000e-01    	-5.34747669530323e-10 	 -9.27050993905800e-01   2.85316954890000e+00 	-2.15468751185611e-08	 -4.38937672525958e-07	-2.08406247152872e-15		1.00000000000010e+00
1.50000000000000e-01    	-1.55144565425571e-09 	 -9.27051014806625e-01   2.85316954890000e+00 	-4.86005533131936e-08	 -1.00639686290786e-06	-1.24107985422501e-14		1.00000000000051e+00
1.80000000000000e-01    	-3.59746190407261e-09 	 -9.27051057613890e-01   2.85316954890000e+00 	-9.01749733643512e-08	 -1.90361768493497e-06	-5.06717615659895e-14		1.00000000000182e+00
2.10000000000000e-01    	-7.08355089839373e-09 	 -9.27051132133647e-01   2.85316954890000e+00 	-1.43688929804157e-07	 -3.10764039600345e-06	-1.56766499456779e-13		1.00000000000484e+00
2.40000000000000e-01    	-1.22492982529497e-08 	 -9.27051245714412e-01   2.85316954889999e+00 	-1.99970084536635e-07	 -4.47033257570560e-06	-3.88849219892922e-13		1.00000000001001e+00
2.70000000000000e-01    	-1.89368851900833e-08 	 -9.27051398876107e-01   2.85316954889997e+00 	-2.41442491436262e-07	 -5.67879005340276e-06	-7.98153435447514e-13		1.00000000001615e+00
3.00000000000000e-01    	-2.63199477184045e-08 	 -9.27051579914811e-01   2.85316954889994e+00 	-2.40997005722765e-07	 -6.22772264743690e-06	-1.37567398279331e-12		1.00000000001942e+00
3.30000000000000e-01    	-3.26124478377994e-08 	 -9.27051758935633e-01   2.85316954889989e+00 	-1.61831798025073e-07	 -5.40988295790009e-06	-1.99174173828353e-12		1.00000000001465e+00
3.60000000000000e-01    	-3.47902115822109e-08 	 -9.27051881933440e-01   2.85316954889982e+00 	4.15130850974238e-08	 -2.32954492725544e-06	-2.39352627664526e-12		1.00000000000271e+00
3.90000000000000e-01    	-2.83632317017998e-08 	 -9.27051865668646e-01   2.85316954889975e+00 	4.20791974495527e-07	 4.05756291476332e-06	-2.37563457756514e-12		1.00000000000832e+00
4.20000000000000e-01    	-7.23930609989990e-09 	 -9.27051594157492e-01   2.85316954889968e+00 	1.03033346224501e-06	 1.48765258061471e-05	-2.27112182849726e-12		1.00000000011119e+00
4.50000000000000e-01    	3.62813714027038e-08 	 -9.27050917601303e-01   2.85316954889960e+00 	1.92205589158190e-06	 3.12387605446101e-05	-3.89264770966942e-12		1.00000000048978e+00
4.80000000000000e-01    	1.11345641506371e-07 	 -9.27049654509604e-01   2.85316954889939e+00 	3.13943221237552e-06	 5.41243923915271e-05	-1.19575538560136e-11		1.00000000146965e+00
5.10000000000000e-01    	2.28193983706347e-07 	 -9.27047597625098e-01   2.85316954889872e+00 	4.71073415038294e-06	 8.42476511747747e-05	-3.58453528458846e-11		1.00000000355993e+00
5.40000000000000e-01    	3.97598937372884e-07 	 -9.27044524037816e-01   2.85316954889692e+00 	6.64198913401847e-06	 1.21913793396400e-04	-9.12823438818363e-11		1.00000000745354e+00
5.70000000000000e-01    	6.30094314963492e-07 	 -9.27040209589989e-01   2.85316954889270e+00 	8.91016856644781e-06	 1.66878009545543e-04	-2.01286353834398e-10		1.00000001396383e+00
6.00000000000000e-01    	9.35010737427896e-07 	 -9.27034447337109e-01   2.85316954888400e+00 	1.14571883678737e-05	 2.18218157498829e-04	-3.95531557600245e-10		1.00000002387522e+00
6.30000000000000e-01    	1.31935105496655e-06 	 -9.27027069463505e-01   2.85316954886780e+00 	1.41853382533561e-05	 2.74233823995108e-04	-7.07323288781861e-10		1.00000003770271e+00
6.60000000000000e-01    	1.78655785873991e-06 	 -9.27017971676101e-01   2.85316954884007e+00 	1.69547604475415e-05	 3.32384044559764e-04	-1.16770554962889e-09		1.00000005538331e+00
6.90000000000000e-01    	2.33524351793831e-06 	 -9.27007138743865e-01   2.85316954879604e+00 	1.95835656186312e-05	 3.89274942912224e-04	-1.79690456315846e-09		1.00000007595925e+00
7.20000000000000e-01    	2.95796976960630e-06 	 -9.26994669540063e-01   2.85316954873057e+00 	2.18510963534621e-05	 4.40706572882883e-04	-2.59429202661854e-09		1.00000009734987e+00
7.50000000000000e-01    	3.64017738792801e-06 	 -9.26980799706467e-01   2.85316954863899e+00 	2.35047184094738e-05	 4.81785406308156e-04	-3.52916696811081e-09		1.00000011633482e+00
