0.00000000000000e+00    	0.00000000000000e+00 	 -5.66311896060000e+00  	-4.11449676600000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-8.16641168458140e-13 	 -5.66311896060265e+00   -4.11449676600000e+00 	-1.38293971013927e-10	 -4.20938339149827e-10	-2.45409840352835e-20		1.00000000000000e+00
6.00000000000000e-02    	-2.79994663261500e-11 	 -5.66311896066459e+00   -4.11449676600000e+00 	-2.38763074538100e-09	 -4.69297110519314e-09	-4.84108745441153e-18		1.00000000000000e+00
9.00000000000000e-02    	-2.23132925848810e-10 	 -5.66311896093018e+00   -4.11449676600000e+00 	-1.26834275373591e-08	 -1.29101031641564e-08	-7.94674864942037e-17		1.00000000000000e+00
1.20000000000000e-01    	-9.68391389792773e-10 	 -5.66311896129755e+00   -4.11449676600000e+00 	-4.10113393532548e-08	 -5.77892767759059e-09	-3.20073469116247e-16		1.00000000000000e+00
1.50000000000000e-01    	-2.99042077613071e-09 	 -5.66311896059602e+00   -4.11449676600000e+00 	-1.00001816644839e-07	 7.10268994951067e-08	7.82705741214209e-16		1.00000000000001e+00
1.80000000000000e-01    	-7.40192732959523e-09 	 -5.66311895534603e+00   -4.11449676600000e+00 	-2.02208559312035e-07	 3.18589764953117e-07	1.31463850462237e-14		1.00000000000007e+00
2.10000000000000e-01    	-1.56446435956439e-08 	 -5.66311893825918e+00   -4.11449676600000e+00 	-3.56308049917883e-07	 8.89957616762733e-07	6.90691576825493e-14		1.00000000000046e+00
2.40000000000000e-01    	-2.93067849073612e-08 	 -5.66311889670607e+00   -4.11449676600000e+00 	-5.62608762691945e-07	 1.98679889145069e-06	2.35551081797471e-13		1.00000000000213e+00
2.70000000000000e-01    	-4.98016913858699e-08 	 -5.66311881142966e+00   -4.11449676599999e+00 	-8.08381038176104e-07	 3.84624351171499e-06	5.93845714810858e-13		1.00000000000772e+00
3.00000000000000e-01    	-7.79110228566211e-08 	 -5.66311865580575e+00   -4.11449676599996e+00 	-1.06360056574451e-06	 6.71760765835192e-06	1.12746123188972e-12		1.00000000002313e+00
3.30000000000000e-01    	-1.13214285216798e-07 	 -5.66311839594529e+00   -4.11449676599992e+00 	-1.27773117888942e-06	 1.08297613231466e-05	1.44300263632538e-12		1.00000000005946e+00
3.60000000000000e-01    	-1.53445050154559e-07 	 -5.66311799189431e+00   -4.11449676599989e+00 	-1.37815077558951e-06	 1.63509816811362e-05	2.65002219504730e-13		1.00000000013463e+00
3.90000000000000e-01    	-1.93831310029067e-07 	 -5.66311740011635e+00   -4.11449676599995e+00 	-1.27074586899589e-06	 2.33441554272351e-05	-5.28375079927398e-12		1.00000000027328e+00
4.20000000000000e-01    	-2.26491316457099e-07 	 -5.66311657734287e+00   -4.11449676600030e+00 	-8.43067733262463e-07	 3.17210633814234e-05	-2.04763800261872e-11		1.00000000050347e+00
4.50000000000000e-01    	-2.39965440382121e-07 	 -5.66311548575472e+00   -4.11449676600135e+00 	2.97374944555855e-08	 4.12001213471095e-05	-5.35466981088172e-11		1.00000000084873e+00
4.80000000000000e-01    	-2.18967762185366e-07 	 -5.66311409932086e+00   -4.11449676600380e+00 	1.47623104599731e-06	 5.12722949915960e-05	-1.15576346072186e-10		1.00000000131551e+00
5.10000000000000e-01    	-1.44437305844834e-07 	 -5.66311241097764e+00   -4.11449676600870e+00 	3.61746556738230e-06	 6.11799031525167e-05	-2.19211659151887e-10		1.00000000187803e+00
5.40000000000000e-01    	6.04242502764948e-09 	 -5.66311044019581e+00   -4.11449676601749e+00 	6.55375177305744e-06	 6.99126445333573e-05	-3.75858558341783e-10		1.00000000246536e+00
5.70000000000000e-01    	2.57405640143092e-07 	 -5.66310824036240e+00   -4.11449676603185e+00 	1.03501495019815e-05	 7.62244226364987e-05	-5.91388519204121e-10		1.00000000295864e+00
6.00000000000000e-01    	6.35823737483025e-07 	 -5.66310590531349e+00   -4.11449676605352e+00 	1.50216363064986e-05	 7.86734243402308e-05	-8.61013122755947e-10		1.00000000320758e+00
6.30000000000000e-01    	1.16698879336275e-06 	 -5.66310357430114e+00   -4.11449676608386e+00 	2.05190695531893e-05	 7.56864761238242e-05	-1.16475388616598e-09		1.00000000307474e+00
6.60000000000000e-01    	1.87400292561744e-06 	 -5.66310143467116e+00   -4.11449676612338e+00 	2.67171556178834e-05	 6.56470304256853e-05	-1.46565403826733e-09		1.00000000251167e+00
6.90000000000000e-01    	2.77495229280182e-06 	 -5.66309972157550e+00   -4.11449676617126e+00 	3.34056590256401e-05	 4.70043161530751e-05	-1.71327871879301e-09		1.00000000166267e+00
