0.00000000000000e+00    	0.00000000000000e+00 	 8.09016994370000e-01  	5.87785252290000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-1.78361558091164e-12 	 8.09016994363380e-01   5.87785252290000e-01 	-2.95133573536472e-10	 -1.05255093600173e-09	-6.96366648853755e-21		1.00000000000000e+00
6.00000000000000e-02    	-5.45502589113986e-11 	 8.09016994208492e-01   5.87785252290000e-01 	-4.44621566320232e-09	 -1.17347142724596e-08	-6.98439618552366e-18		1.00000000000000e+00
9.00000000000000e-02    	-3.88180369102382e-10 	 8.09016993544386e-01   5.87785252290000e-01 	-2.05878086380449e-08	 -3.22815480546527e-08	-1.99209753952725e-16		1.00000000000000e+00
1.20000000000000e-01    	-1.49923265003091e-09 	 8.09016992625788e-01   5.87785252290000e-01 	-5.75000785453712e-08	 -1.44501338828626e-08	-1.07918642670969e-15		1.00000000000000e+00
1.50000000000000e-01    	-4.08546052263467e-09 	 8.09016994379958e-01   5.87785252290000e-01 	-1.18742725527209e-07	 1.77601865994514e-07	4.86370057583954e-15		1.00000000000002e+00
1.80000000000000e-01    	-8.78991982336329e-09 	 8.09017007507483e-01   5.87785252290001e-01 	-1.95979425868262e-07	 7.96629682746080e-07	8.89668769472956e-14		1.00000000000034e+00
2.10000000000000e-01    	-1.57447527907933e-08 	 8.09017050232926e-01   5.87785252290009e-01 	-2.62469878508434e-07	 2.22532770379068e-06	5.79709566231575e-13		1.00000000000251e+00
2.40000000000000e-01    	-2.39353001419833e-08 	 8.09017154135959e-01   5.87785252290050e-01 	-2.67774325365801e-07	 4.96796485984829e-06	2.51784870591260e-12		1.00000000001238e+00
2.70000000000000e-01    	-3.04363380660086e-08 	 8.09017367368495e-01   5.87785252290199e-01 	-1.34685402062565e-07	 9.61747994982925e-06	8.44889206345515e-12		1.00000000004626e+00
3.00000000000000e-01    	-2.96009930540540e-08 	 8.09017756503896e-01   5.87785252290646e-01 	2.40726619098097e-07	 1.67972808193118e-05	2.34352157091289e-11		1.00000000014110e+00
3.30000000000000e-01    	-1.23063681772995e-08 	 8.09018406281013e-01   5.87785252291778e-01 	9.85290395443098e-07	 2.70796453218954e-05	5.58263963097996e-11		1.00000000036714e+00
3.60000000000000e-01    	3.46244749791137e-08 	 8.09019416603594e-01   5.87785252294282e-01 	2.24076782673143e-06	 4.08853330828929e-05	1.16924905682281e-10		1.00000000083832e+00
3.90000000000000e-01    	1.28698910726415e-07 	 8.09020896332761e-01   5.87785252299200e-01 	4.15174357476389e-06	 5.83715684990697e-05	2.18428047096131e-10		1.00000000171224e+00
4.20000000000000e-01    	2.91610100073441e-07 	 8.09022953658959e-01   5.87785252307860e-01 	6.84976632291938e-06	 7.93177318237965e-05	3.66687270967301e-10		1.00000000316911e+00
4.50000000000000e-01    	5.48569931194121e-07 	 8.09025683145540e-01   5.87785252321596e-01 	1.04345482268742e-05	 1.03019697386914e-04	5.53645809437474e-10		1.00000000536097e+00
4.80000000000000e-01    	9.27048333627219e-07 	 8.09029149879269e-01   5.87785252341144e-01 	1.49534205630531e-05	 1.28204617023677e-04	7.45877259468669e-10		1.00000000833001e+00
5.10000000000000e-01    	1.45488898861835e-06 	 8.09033371519121e-01   5.87785252365733e-01 	2.03805859838283e-05	 1.52977936712080e-04	8.75246892553152e-10		1.00000001190881e+00
5.40000000000000e-01    	2.15782183983706e-06 	 8.09038299376471e-01   5.87785252391990e-01 	2.65979697746555e-05	 1.74813482931195e-04	8.36796848523301e-10		1.00000001563360e+00
5.70000000000000e-01    	3.05644946395806e-06 	 8.09043799958696e-01   5.87785252412963e-01 	3.33796239338584e-05	 1.90595551297362e-04	5.00649836141443e-10		1.00000001872043e+00
6.00000000000000e-01    	4.16284355970923e-06 	 8.09049638636264e-01   5.87785252417804e-01 	4.03816520608587e-05	 1.96719127887049e-04	-2.55961005089692e-10		1.00000002016455e+00
6.30000000000000e-01    	5.47694511621021e-06 	 8.09055467225302e-01   5.87785252392748e-01 	4.71394798088990e-05	 1.89250793004575e-04	-1.49381398601596e-09		1.00000001901900e+00
6.60000000000000e-01    	6.98301232627179e-06 	 8.09060817292742e-01   5.87785252324043e-01 	5.30739851463084e-05	 1.64148678963128e-04	-3.13760656123922e-09		1.00000001488082e+00
