0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e+00  	3.09016994370000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-5.18977604616530e-14 	 9.51056516299805e+00   3.09016994370000e+00 	-8.46951525541753e-12	 -2.82666268301990e-10	2.45642903909915e-22		1.00000000000000e+00
6.00000000000000e-02    	-1.47455843514554e-12 	 9.51056516297909e+00   3.09016994370000e+00 	-1.16254703392700e-10	 -3.48062059630647e-10	-2.28864222619015e-20		1.00000000000000e+00
9.00000000000000e-02    	-9.60256930903714e-12 	 9.51056516315829e+00   3.09016994370000e+00 	-4.77635999599077e-10	 1.93104591207544e-08	3.95565783910621e-18		1.00000000000000e+00
1.20000000000000e-01    	-3.31134351037742e-11 	 9.51056516498163e+00   3.09016994370000e+00 	-1.12572221172563e-09	 1.25753239262309e-07	1.46543657472250e-16		1.00000000000001e+00
1.50000000000000e-01    	-7.71316974265573e-11 	 9.51056517291835e+00   3.09016994370000e+00 	-1.75397556849876e-09	 4.56478654829148e-07	1.80871562571021e-15		1.00000000000010e+00
1.80000000000000e-01    	-1.29860226609398e-10 	 9.51056519678181e+00   3.09016994370000e+00 	-1.50918551632999e-09	 1.23104042124716e-06	1.26504756478766e-14		1.00000000000076e+00
2.10000000000000e-01    	-1.43622937549595e-10 	 9.51056525418098e+00   3.09016994370000e+00 	1.16820811462641e-09	 2.74762274503888e-06	6.13334696649945e-14		1.00000000000377e+00
2.40000000000000e-01    	-1.22495346986138e-11 	 9.51056537261274e+00   3.09016994370000e+00 	8.62314023730723e-09	 5.36226884448219e-06	2.28769694710393e-13		1.00000000001438e+00
2.70000000000000e-01    	4.52346322588846e-10 	 9.51056559066179e+00   3.09016994370002e+00 	2.39566825660625e-08	 9.45024024091306e-06	6.98228379166118e-13		1.00000000004465e+00
3.00000000000000e-01    	1.54083345531013e-09 	 9.51056595778878e+00   3.09016994370005e+00 	5.08691531037229e-08	 1.53509403459981e-05	1.81385264577218e-12		1.00000000011783e+00
3.30000000000000e-01    	3.66037906174343e-09 	 9.51056653225982e+00   3.09016994370014e+00 	9.33663743430474e-08	 2.32998117748703e-05	4.11730249551946e-12		1.00000000027144e+00
3.60000000000000e-01    	7.33771599912020e-09 	 9.51056737690101e+00   3.09016994370032e+00 	1.55331663567639e-07	 3.33524508362939e-05	8.31250133610182e-12		1.00000000055621e+00
3.90000000000000e-01    	1.32075358034771e-08 	 9.51056855254267e+00   3.09016994370066e+00 	2.39979373731128e-07	 4.53077168510280e-05	1.51015910919569e-11		1.00000000102642e+00
4.20000000000000e-01    	2.19830726717439e-08 	 9.51057010923935e+00   3.09016994370126e+00 	3.49220450182050e-07	 5.86377050657282e-05	2.48561328862486e-11		1.00000000171925e+00
4.50000000000000e-01    	3.44068922162147e-08 	 9.51057207559668e+00   3.09016994370218e+00 	4.82986246488809e-07	 7.24329816743811e-05	3.71471135407909e-11		1.00000000262339e+00
4.80000000000000e-01    	5.11815269081663e-08 	 9.51057444678843e+00   3.09016994370349e+00 	6.38572794247762e-07	 8.53713635288264e-05	5.02545167414040e-11		1.00000000364434e+00
5.10000000000000e-01    	7.28816858054286e-08 	 9.51057717208524e+00   3.09016994370517e+00 	8.10081842431539e-07	 9.57177203356753e-05	6.08933868269554e-11		1.00000000458127e+00
5.40000000000000e-01    	9.98522098918888e-08 	 9.51058014291989e+00   3.09016994370708e+00 	9.88044121456432e-07	 1.01360786234586e-04	6.44904170093843e-11		1.00000000513749e+00
5.70000000000000e-01    	1.32098538609954e-07 	 9.51058318266346e+00   3.09016994370892e+00 	1.15931049460777e-06	 9.98908413624965e-05	5.63711901469166e-11		1.00000000498976e+00
6.00000000000000e-01    	1.69178869932948e-07 	 9.51058603936364e+00   3.09016994371032e+00 	1.30728403713512e-06	 8.87194602137792e-05	3.41205401872811e-11		1.00000000393643e+00
6.30000000000000e-01    	2.10109007020530e-07 	 9.51058838268722e+00   3.09016994371086e+00 	1.41253805863970e-06	 6.52394635347593e-05	1.12254552124979e-12		1.00000000212909e+00
6.60000000000000e-01    	2.53291621094324e-07 	 9.51058980620408e+00   3.09016994371041e+00 	1.45382182814275e-06	 2.70199320567563e-05	-2.91233626851936e-11		1.00000000036610e+00
6.90000000000000e-01    	2.96480916019103e-07 	 9.51058983594612e+00   3.09016994370941e+00 	1.40940134016948e-06	 -2.79721510368546e-05	-2.88190250849523e-11		1.00000000039221e+00
7.20000000000000e-01    	3.36791235489956e-07 	 9.51058794587452e+00   3.09016994370942e+00 	1.25862525761650e-06	 -1.01135144853658e-04	4.67910750315089e-11		1.00000000511495e+00
7.50000000000000e-01    	3.70754098093910e-07 	 9.51058358050214e+00   3.09016994371358e+00 	9.83558180861894e-07	 -1.92995048102860e-04	2.58863999097915e-10		1.00000001862403e+00
7.80000000000000e-01    	3.94422958931724e-07 	 9.51057618446102e+00   3.09016994372704e+00 	5.70498233327885e-07	 -3.02983015823543e-04	6.79563611579722e-10		1.00000004589952e+00
8.10000000000000e-01    	4.03519553285994e-07 	 9.51056523830021e+00   3.09016994375716e+00 	1.12056952433919e-08	 -4.29245425575563e-04	1.38077447665422e-09		1.00000009212581e+00
8.40000000000000e-01    	3.93611144494442e-07 	 9.51055029927397e+00   3.09016994381325e+00 	-6.96279176717221e-07	 -5.68503994840319e-04	2.41700668712342e-09		1.00000016159863e+00
8.70000000000000e-01    	3.60305619146171e-07 	 9.51053104536641e+00   3.09016994390571e+00 	-1.54726002247172e-06	 -7.15982527178922e-04	3.80419044392467e-09		1.00000025631665e+00
9.00000000000000e-01    	2.99452166297081e-07 	 9.51050732032923e+00   3.09016994404459e+00 	-2.53036346540747e-06	 -8.65414798415759e-04	5.49791292903788e-09		1.00000037447452e+00
9.30000000000000e-01    	2.07339695558892e-07 	 9.51047917711943e+00   3.09016994423747e+00 	-3.62766752935833e-06	 -1.00914490446407e-03	7.37634116542312e-09		1.00000050919317e+00
9.60000000000000e-01    	8.08927797046337e-08 	 9.51044691684455e+00   3.09016994448699e+00 	-4.81468457211177e-06	 -1.13832716633129e-03	9.23410083414640e-09		1.00000064790575e+00
9.90000000000000e-01    	-8.21256889113738e-08 	 9.51041112018562e+00   3.09016994478854e+00 	-6.05988024711001e-06	 -1.24322758018387e-03	1.07932336918460e-08		1.00000077282547e+00
1.02000000000000e+00    	-2.82887177757671e-07 	 9.51037266829296e+00   3.09016994512842e+00 	-7.32348033739331e-06	 -1.31362302964947e-03	1.17356476683153e-08		1.00000086282918e+00
1.05000000000000e+00    	-5.21222532902889e-07 	 9.51033275035594e+00   3.09016994548345e+00 	-8.55549517622720e-06	 -1.33928831791512e-03	1.17580730865828e-08		1.00000089688280e+00
1.08000000000000e+00    	-7.95278155700463e-07 	 9.51029285543947e+00   3.09016994582249e+00 	-9.69316702564129e-06	 -1.31055484664421e-03	1.06456840738821e-08		1.00000085882361e+00
1.11000000000000e+00    	-1.10109327237868e-06 	 9.51025474675556e+00   3.09016994611032e+00 	-1.06583815507087e-05	 -1.21891881432417e-03	8.35489868550886e-09		1.00000074293806e+00
1.14000000000000e+00    	-1.43210954296919e-06 	 9.51022041728393e+00   3.09016994631395e+00 	-1.13559156167699e-05	 -1.05767148723446e-03	5.09049020126016e-09		1.00000055939881e+00
1.17000000000000e+00    	-1.77865439095319e-06 	 9.51019202654625e+00   3.09016994641097e+00 	-1.16736356672771e-05	 -8.22519763784817e-04	1.35834137994576e-09		1.00000033833746e+00
1.20000000000000e+00    	-2.12747436637640e-06 	 9.51017181934092e+00   3.09016994639884e+00 	-1.14858241257119e-05	 -5.12162233404541e-04	-2.02570057199255e-09		1.00000013122103e+00
1.23000000000000e+00    	-2.46142801749380e-06 	 9.51016202831437e+00   3.09016994630360e+00 	-1.06606196989655e-05	 -1.28784505408534e-04	-3.98727981842888e-09		1.00000000834955e+00
1.26000000000000e+00    	-2.75947077005834e-06 	 9.51016476333130e+00   3.09016994618597e+00 	-9.07207036043325e-06	 3.21562030349015e-04	-3.31408041454353e-09		1.00000005174222e+00
1.29000000000000e+00    	-2.99706837529046e-06 	 9.51018189165162e+00   3.09016994614283e+00 	-6.61652840376842e-06	 8.28731510788981e-04	1.15752281833906e-09		1.00000034341979e+00
1.32000000000000e+00    	-3.14715313039533e-06 	 9.51021491386792e+00   3.09016994630238e+00 	-3.23214431298304e-06	 1.37843413596792e-03	1.03072651904858e-08		1.00000095004511e+00
