0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	-3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157063033e-02 	 9.51056516302280e-01   -3.09016994370000e-01 	-1.00000000005764e+01	 3.89058212254828e-09	1.55248621333295e-19		1.00498756216944e+01
6.00000000000000e-02    	-5.97022314126772e-02 	 9.51056516377244e-01   -3.09016994370000e-01 	-1.00000000052021e+01	 6.52551937787422e-08	4.88347465269097e-17		1.00498756262972e+01
9.00000000000000e-02    	-8.95533471191668e-02 	 9.51056516879504e-01   -3.09016994370000e-01 	-1.00000000038653e+01	 3.14606380334056e-07	1.25771736728125e-15		1.00498756249670e+01
1.20000000000000e-01    	-1.19404462824927e-01 	 9.51056518550824e-01   -3.09016994370000e-01 	-9.99999994168993e+00	 8.53158633274286e-07	1.04149253358049e-14		1.00498755631002e+01
1.50000000000000e-01    	-1.49255578526603e-01 	 9.51056522149291e-01   -3.09016994370000e-01 	-9.99999970379608e+00	 1.55412572025269e-06	4.12904585662396e-14		1.00498753263871e+01
1.80000000000000e-01    	-1.79106694216757e-01 	 9.51056527457485e-01   -3.09016994370000e-01 	-9.99999913570160e+00	 1.86344922356023e-06	8.75404789385749e-14		1.00498747611120e+01
2.10000000000000e-01    	-2.08957809883523e-01 	 9.51056531837188e-01   -3.09016994370000e-01 	-9.99999810572413e+00	 7.14400807339633e-07	9.77957840691291e-14		1.00498737362460e+01
2.40000000000000e-01    	-2.38808925512616e-01 	 9.51056528828440e-01   -3.09016994369999e-01 	-9.99999659919834e+00	 -3.34409810065327e-06	1.77751370711544e-13		1.00498722371973e+01
2.70000000000000e-01    	-2.68660041092285e-01 	 9.51056507516231e-01   -3.09016994369997e-01 	-9.99999481786877e+00	 -1.17603162382030e-05	1.35624015191992e-12		1.00498704647145e+01
3.00000000000000e-01    	-2.98511156620811e-01 	 9.51056453403096e-01   -3.09016994369987e-01 	-9.99999324691288e+00	 -2.53720676156896e-05	6.78370101073360e-12		1.00498689015801e+01
3.30000000000000e-01    	-3.28362272115018e-01 	 9.51056351274183e-01   -3.09016994369947e-01 	-9.99999265108457e+00	 -4.37080127175546e-05	2.20536373433239e-11		1.00498683087718e+01
3.60000000000000e-01    	-3.58213387617289e-01 	 9.51056190038903e-01   -3.09016994369840e-01 	-9.99999397259387e+00	 -6.43997873247001e-05	5.25018046785592e-11		1.00498696238340e+01
3.90000000000000e-01    	-3.88064503198076e-01 	 9.51055968874010e-01   -3.09016994369619e-01 	-9.99999812563929e+00	 -8.29357868791719e-05	9.68029736996770e-11		1.00498737564045e+01
4.20000000000000e-01    	-4.17915618951136e-01 	 9.51055703334616e-01   -3.09016994369262e-01 	-1.00000057118869e+01	 -9.29559905670797e-05	1.40783914692293e-10		1.00498813050907e+01
4.50000000000000e-01    	-4.47766734979814e-01 	 9.51055429631757e-01   -3.09016994368803e-01 	-1.00000167110102e+01	 -8.71918241877596e-05	1.60341954808837e-10		1.00498922495759e+01
4.80000000000000e-01    	-4.77617851374543e-01 	 9.51055205173892e-01   -3.09016994368344e-01 	-1.00000302228244e+01	 -5.90081828988096e-05	1.41472546150314e-10		1.00499056941289e+01
5.10000000000000e-01    	-5.07468968184184e-01 	 9.51055103851200e-01   -3.09016994367970e-01 	-1.00000443452862e+01	 -4.33393916028548e-06	1.13711906798155e-10		1.00499197463317e+01
5.40000000000000e-01    	-5.37320085386423e-01 	 9.51055205421892e-01   -3.09016994367579e-01 	-1.00000562607719e+01	 7.63892990674163e-05	1.74265558794391e-10		1.00499316029732e+01
5.70000000000000e-01    	-5.67171202864478e-01 	 9.51055579634556e-01   -3.09016994366696e-01 	-1.00000625705962e+01	 1.76711562731921e-04	4.68582121050596e-10		1.00499378827467e+01
6.00000000000000e-01    	-5.97022320398154e-01 	 9.51056267169360e-01   -3.09016994364433e-01 	-1.00000598683671e+01	 2.83614116940329e-04	1.10783401260527e-09		1.00499351963763e+01
6.30000000000000e-01    	-6.26873437675878e-01 	 9.51057260799236e-01   -3.09016994359772e-01 	-1.00000454847683e+01	 3.78266662445576e-04	2.05017134272992e-09		1.00499208872767e+01
6.60000000000000e-01    	-6.56724554330725e-01 	 9.51058491027277e-01   -3.09016994352152e-01 	-1.00000182813631e+01	 4.38276199411293e-04	3.02815859241141e-09		1.00498938213138e+01
6.90000000000000e-01    	-6.86575669998050e-01 	 9.51059820557676e-01   -3.09016994342078e-01 	-9.99997933196287e+00	 4.41310945096484e-04	3.62253880409716e-09		1.00498550653450e+01
7.20000000000000e-01    	-7.16426784386801e-01 	 9.51061051126821e-01   -3.09016994331233e-01 	-9.99993231854673e+00	 3.69658326279834e-04	3.52063578486354e-09		1.00498082823586e+01
7.50000000000000e-01    	-7.46277897352625e-01 	 9.51061944450398e-01   -3.09016994321637e-01 	-9.99988349204129e+00	 2.14981763530436e-04	2.86178129373489e-09		1.00497596936751e+01
7.80000000000000e-01    	-7.76129008959695e-01 	 9.51062256522476e-01   -3.09016994313932e-01 	-9.99984110758777e+00	 -1.76556346210719e-05	2.43724200312861e-09		1.00497175172894e+01
8.10000000000000e-01    	-8.05980119519609e-01 	 9.51061781615005e-01   -3.09016994305605e-01 	-9.99981433296113e+00	 -3.07473268836329e-04	3.49505186376438e-09		1.00496908802328e+01
8.40000000000000e-01    	-8.35831229598314e-01 	 9.51060399594916e-01   -3.09016994290513e-01 	-9.99981173432330e+00	 -6.18184162488659e-04	7.08052872231487e-09		1.00496883088015e+01
8.70000000000000e-01    	-8.65682339984070e-01 	 9.51058118182521e-01   -3.09016994260778e-01 	-9.99983954706416e+00	 -9.01215862829509e-04	1.31768318158436e-08		1.00497160049037e+01
