0.00000000000000e+00    	0.00000000000000e+00 	 -3.09016994370000e-01  	9.51056516300000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157062943e-02 	 -3.09016994368111e-01   9.51056516300000e-01 	-9.99999999907621e+00	 3.29178300630744e-09	4.19635019582737e-20		1.00498756202017e+01
6.00000000000000e-02    	-5.97022314124173e-02 	 -3.09016994299580e-01   9.51056516300000e-01 	-9.99999998444765e+00	 6.15293663751367e-08	-2.46038685327730e-18		1.00498756056457e+01
9.00000000000000e-02    	-8.95533471175291e-02 	 -3.09016993796496e-01   9.51056516300000e-01 	-9.99999992474439e+00	 3.26654342472950e-07	-4.64952627436288e-16		1.00498755462388e+01
1.20000000000000e-01    	-1.19404462819861e-01 	 -3.09016991955018e-01   9.51056516300000e-01 	-9.99999979502764e+00	 9.83144762746544e-07	-7.91961661876356e-15		1.00498754171658e+01
1.50000000000000e-01    	-1.49255578517572e-01 	 -3.09016987495619e-01   9.51056516300000e-01 	-9.99999962415589e+00	 2.05966605350851e-06	-5.60378196689423e-14		1.00498752471422e+01
1.80000000000000e-01    	-1.79106694211081e-01 	 -3.09016979585205e-01   9.51056516300000e-01 	-9.99999954274810e+00	 3.18984474374043e-06	-2.24221714898101e-13		1.00498751661388e+01
2.10000000000000e-01    	-2.08957809906487e-01 	 -3.09016969313273e-01   9.51056516299999e-01 	-9.99999980443427e+00	 3.43384147789228e-06	-5.65501443312943e-13		1.00498754265263e+01
2.40000000000000e-01    	-2.38808925618915e-01 	 -3.09016961458597e-01   9.51056516299996e-01 	-1.00000007563617e+01	 1.28053339228047e-06	-8.93459336998232e-13		1.00498763737290e+01
2.70000000000000e-01    	-2.68660041374081e-01 	 -3.09016965866143e-01   9.51056516299994e-01 	-1.00000027478099e+01	 -5.08437517858733e-06	-7.33853865221022e-13		1.00498783552952e+01
3.00000000000000e-01    	-2.98511157206302e-01 	 -3.09016997599742e-01   9.51056516299993e-01 	-1.00000059856086e+01	 -1.72316920696671e-05	-2.46150920390122e-13		1.00498815770388e+01
3.30000000000000e-01    	-3.28362273151790e-01 	 -3.09017075137128e-01   9.51056516299990e-01 	-1.00000103668418e+01	 -3.57456841078442e-05	-2.73606048616666e-12		1.00498859365776e+01
3.60000000000000e-01    	-3.58213389237229e-01 	 -3.09017216260946e-01   9.51056516299964e-01 	-1.00000153368121e+01	 -5.94590087752287e-05	-1.76823906473346e-11		1.00498908819953e+01
3.90000000000000e-01    	-3.88064505465277e-01 	 -3.09017431923329e-01   9.51056516299856e-01 	-1.00000198274538e+01	 -8.49021164597049e-05	-6.06139898489097e-11		1.00498953505336e+01
4.20000000000000e-01    	-4.17915621800132e-01 	 -3.09017719095714e-01   9.51056516299560e-01 	-1.00000223242296e+01	 -1.06211983585448e-04	-1.45532091224527e-10		1.00498978351210e+01
4.50000000000000e-01    	-4.47766738157417e-01 	 -3.09018054276250e-01   9.51056516298947e-01 	-1.00000210870888e+01	 -1.15686537250326e-04	-2.70196045571859e-10		1.00498966042245e+01
4.80000000000000e-01    	-4.77617854402733e-01 	 -3.09018389713897e-01   9.51056516297937e-01 	-1.00000145161958e+01	 -1.05047793441250e-04	-4.04214331849139e-10		1.00498900658247e+01
5.10000000000000e-01    	-5.07468970362290e-01 	 -3.09018654351452e-01   9.51056516296575e-01 	-1.00000016123747e+01	 -6.73073423911973e-05	-4.97623465043975e-10		1.00498772257191e+01
5.40000000000000e-01    	-5.37320085847026e-01 	 -3.09018760898656e-01   9.51056516295037e-01 	-9.99998244462774e+00	 1.05427558475369e-06	-5.22520526361219e-10		1.00498581528728e+01
5.70000000000000e-01    	-5.67171200689006e-01 	 -3.09018619344948e-01   9.51056516293470e-01 	-9.99995851248607e+00	 9.80354827847191e-05	-5.36591447740284e-10		1.00498343399806e+01
6.00000000000000e-01    	-5.97022314785904e-01 	 -3.09018155761024e-01   9.51056516291663e-01 	-9.99993288773378e+00	 2.14711150752677e-04	-7.24961973895625e-10		1.00498088442159e+01
6.30000000000000e-01    	-6.26873428146453e-01 	 -3.09017333685270e-01   9.51056516288694e-01 	-9.99991004307142e+00	 3.34978652578354e-04	-1.36229468953016e-09		1.00497861162182e+01
