0.00000000000000e+00    	0.00000000000000e+00 	 -8.09016994370000e-01  	5.87785252290000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157063001e-02 	 -8.09016994372072e-01   5.87785252290000e-01 	-1.00000000000316e+01	 -3.35598075458256e-09	-1.65728624016179e-19		1.00498756211523e+01
6.00000000000000e-02    	-5.97022314125694e-02 	 -8.09016994423370e-01   5.87785252290000e-01 	-9.99999999596961e+00	 -3.97488631148923e-08	-3.09665425972418e-17		1.00498756171105e+01
9.00000000000000e-02    	-8.95533471183511e-02 	 -8.09016994652077e-01   5.87785252290000e-01 	-9.99999995890886e+00	 -1.13066705343499e-07	-4.28776761904195e-16		1.00498755802337e+01
1.20000000000000e-01    	-1.19404462821731e-01 	 -8.09016994974819e-01   5.87785252290000e-01 	-9.99999981833246e+00	 -5.18458612946704e-08	-1.32710251062909e-15		1.00498754403549e+01
1.50000000000000e-01    	-1.49255578518210e-01 	 -8.09016994374902e-01   5.87785252290000e-01 	-9.99999947510033e+00	 6.09168690518034e-07	-7.70248823936903e-16		1.00498750988262e+01
1.80000000000000e-01    	-1.79106694200502e-01 	 -8.09016990002110e-01   5.87785252290000e-01 	-9.99999885080528e+00	 2.61601537368449e-06	-2.63500632969689e-14		1.00498744776297e+01
2.10000000000000e-01    	-2.08957809860228e-01 	 -8.09016976589178e-01   5.87785252290000e-01 	-9.99999796370907e+00	 6.79121514916979e-06	-3.11176065926054e-13		1.00498735949380e+01
2.40000000000000e-01    	-2.38808925491950e-01 	 -8.09016946765386e-01   5.87785252289997e-01 	-9.99999700656689e+00	 1.36445571813194e-05	-1.68516616413706e-12		1.00498726425529e+01
2.70000000000000e-01    	-2.68660041099129e-01 	 -8.09016892712267e-01   5.87785252289987e-01 	-9.99999639268353e+00	 2.28834654559484e-05	-5.88322733372617e-12		1.00498720317329e+01
3.00000000000000e-01    	-2.98511156700558e-01 	 -8.09016809248912e-01   5.87785252289957e-01 	-9.99999673735941e+00	 3.29740387989764e-05	-1.49555042830321e-11		1.00498723747263e+01
3.30000000000000e-01    	-3.28362272335045e-01 	 -8.09016697924309e-01   5.87785252289892e-01 	-9.99999875393393e+00	 4.09360235786787e-05	-2.91509071916701e-11		1.00498743813222e+01
3.60000000000000e-01    	-3.58213388061747e-01 	 -8.09016571160832e-01   5.87785252289782e-01 	-1.00000030653596e+01	 4.25365187016600e-05	-4.43784313909009e-11		1.00498786713577e+01
3.90000000000000e-01    	-3.88064503953986e-01 	 -8.09016455097708e-01   5.87785252289634e-01 	-1.00000099591546e+01	 3.29736885334443e-05	-5.29819939015230e-11		1.00498855309043e+01
4.20000000000000e-01    	-4.17915620085518e-01 	 -8.09016389679054e-01   5.87785252289475e-01 	-1.00000191390888e+01	 8.02305295136709e-06	-5.21868806882390e-11		1.00498946652294e+01
4.50000000000000e-01    	-4.47766736510132e-01 	 -8.09016424821037e-01   5.87785252289315e-01 	-1.00000295437684e+01	 -3.45214780644864e-05	-5.98163982608015e-11		1.00499050183289e+01
4.80000000000000e-01    	-4.77617853237684e-01 	 -8.09016612193704e-01   5.87785252289060e-01 	-1.00000393041595e+01	 -9.34087623173488e-05	-1.27047739990502e-10		1.00499147306562e+01
5.10000000000000e-01    	-5.07468970211820e-01 	 -8.09016993177963e-01   5.87785252288420e-01 	-1.00000458955060e+01	 -1.62872857204120e-04	-3.30155389686928e-10		1.00499212901770e+01
5.40000000000000e-01    	-5.37320087295850e-01 	 -8.09017584719308e-01   5.87785252286891e-01 	-1.00000465045151e+01	 -2.32340917383817e-04	-7.28582107468524e-10		1.00499218975297e+01
5.70000000000000e-01    	-5.67171204272988e-01 	 -8.09018365838463e-01   5.87785252283893e-01 	-1.00000385850077e+01	 -2.87202283872892e-04	-1.30105488995975e-09		1.00499140187430e+01
6.00000000000000e-01    	-5.97022320865127e-01 	 -8.09019268194679e-01   5.87785252279090e-01 	-1.00000205233058e+01	 -3.10755243845014e-04	-1.90454086640710e-09		1.00498960473781e+01
6.30000000000000e-01    	-6.26873436770707e-01 	 -8.09020174090278e-01   5.87785252272716e-01 	-9.99999228981757e+00	 -2.87202215234261e-04	-2.31534796836198e-09		1.00498679533064e+01
6.60000000000000e-01    	-6.56724551718083e-01 	 -8.09020924517539e-01   5.87785252265621e-01 	-9.99995592716242e+00	 -2.05295371274503e-04	-2.37939235425017e-09		1.00498317691062e+01
6.90000000000000e-01    	-6.86575665527091e-01 	 -8.09021338293899e-01   5.87785252258749e-01 	-9.99991572706810e+00	 -6.19987718047486e-05	-2.21768036365751e-09		1.00497917666143e+01
7.20000000000000e-01    	-7.16426778169176e-01 	 -8.09021241193340e-01   5.87785252252102e-01 	-9.99987798279636e+00	 1.34612294885231e-04	-2.34631884653254e-09		1.00497542103743e+01
7.50000000000000e-01    	-7.46277889815398e-01 	 -8.09020501606010e-01   5.87785252243664e-01 	-9.99985026938424e+00	 3.64001145324435e-04	-3.55275781495886e-09		1.00497266401928e+01
7.80000000000000e-01    	-7.76129000861500e-01 	 -8.09019067102518e-01   5.87785252229156e-01 	-9.99984029214016e+00	 5.93997865594013e-04	-6.47884641193738e-09		1.00497167234277e+01
8.10000000000000e-01    	-8.05980111919445e-01 	 -8.09016994836797e-01   5.87785252203285e-01 	-9.99985444031315e+00	 7.84117562383583e-04	-1.10759410474359e-08		1.00497308144194e+01
8.40000000000000e-01    	-8.35831223766153e-01 	 -8.09014468422962e-01   5.87785252162384e-01 	-9.99989626951030e+00	 8.91240687191872e-04	-1.62953074492466e-08		1.00497724449500e+01
8.70000000000000e-01    	-8.65682337244391e-01 	 -8.09011795038001e-01   5.87785252107129e-01 	-9.99996519426375e+00	 8.77033823779454e-04	-2.03860124530062e-08		1.00498410263882e+01
9.00000000000000e-01    	-8.95533453119803e-01 	 -8.09009379064236e-01   5.87785252043304e-01 	-1.00000556848126e+01	 7.16031665137057e-04	-2.18888802996659e-08		1.00499310550896e+01
9.30000000000000e-01    	-9.25384571912080e-01 	 -8.09007672341079e-01   5.87785251978989e-01 	-1.00001572195581e+01	 4.02975181947389e-04	-2.09215522318475e-08		1.00500320685194e+01
9.60000000000000e-01    	-9.55235693733536e-01 	 -8.09007105517963e-01   5.87785251918484e-01 	-1.00002551458677e+01	 -4.21086528924163e-05	-1.99340002441441e-08		1.00501295008684e+01
9.90000000000000e-01    	-9.85086818178114e-01 	 -8.09008009351337e-01   5.87785251855809e-01 	-1.00003324569705e+01	 -5.72439474434927e-04	-2.31321122539635e-08		1.00502064445276e+01
1.02000000000000e+00    	-1.01493794430039e+00 	 -8.09010538233333e-01   5.87785251772254e-01 	-1.00003723223790e+01	 -1.11754111779489e-03	-3.43955348413639e-08		1.00502461579357e+01
1.05000000000000e+00    	-1.04478907070459e+00 	 -8.09014609991652e-01   5.87785251641460e-01 	-1.00003610426062e+01	 -1.59105665516128e-03	-5.45416592393868e-08		1.00502349979460e+01
1.08000000000000e+00    	-1.07464019573276e+00 	 -8.09019875476252e-01   5.87785251441598e-01 	-1.00002909684023e+01	 -1.90272601435936e-03	-7.96131916799155e-08		1.00501653256589e+01
1.11000000000000e+00    	-1.10449131771174e+00 	 -8.09025728401690e-01   5.87785251169023e-01 	-1.00001628600059e+01	 -1.97308796138541e-03	-1.01808344694412e-07		1.00500378665813e+01
1.14000000000000e+00    	-1.13434243520519e+00 	 -8.09031360521432e-01   5.87785250844495e-01 	-9.99998718350848e+00	 -1.74875999951725e-03	-1.13432813471245e-07		1.00498630203847e+01
1.17000000000000e+00    	-1.16419354722662e+00 	 -8.09035860093977e-01   5.87785250504840e-01 	-9.99978395584278e+00	 -1.21572287841369e-03	-1.12279216468337e-07		1.00496607227067e+01
1.20000000000000e+00    	-1.19404465339766e+00 	 -8.09038343773641e-01   5.87785250180267e-01 	-9.99958094738463e+00	 -4.08005464745586e-04	-1.05267456493652e-07		1.00494586565529e+01
1.23000000000000e+00    	-1.22389575406222e+00 	 -8.09038104798689e-01   5.87785249867438e-01 	-9.99941030674810e+00	 5.90410686199015e-04	-1.07255523003311e-07		1.00492888719195e+01
1.26000000000000e+00    	-1.25374685037163e+00 	 -8.09034755008697e-01   5.87785249514788e-01 	-9.99930394944962e+00	 1.65178419178240e-03	-1.34165875960549e-07		1.00491831609275e+01
1.29000000000000e+00    	-1.28359794432869e+00 	 -8.09028336001511e-01   5.87785249033910e-01 	-9.99928830755872e+00	 2.61901210289355e-03	-1.93140382184065e-07		1.00491678022066e+01
1.32000000000000e+00    	-1.31344903873337e+00 	 -8.09019376451798e-01   5.87785248337987e-01 	-9.99937922706608e+00	 3.32695391758164e-03	-2.75318808765378e-07		1.00492584798732e+01
1.35000000000000e+00    	-1.34330013694418e+00 	 -8.09008878487733e-01   5.87785247390588e-01 	-9.99957788393376e+00	 3.62805496965206e-03	-3.56850668799020e-07		1.00494562549245e+01
1.38000000000000e+00    	-1.37315124239307e+00 	 -8.08998225585463e-01   5.87785246236110e-01 	-9.99986853964556e+00	 3.41857558169278e-03	-4.10006262573125e-07		1.00497453946283e+01
1.41000000000000e+00    	-1.40300235788082e+00 	 -8.08989016510257e-01   5.87785244986475e-01 	-1.00002187605058e+01	 2.66116216754499e-03	-4.20142733618708e-07		1.00500936483077e+01
1.44000000000000e+00    	-1.43285348480551e+00 	 -8.08982842646531e-01   5.87785243759711e-01 	-1.00005823930500e+01	 1.39957866736493e-03	-3.99197481731535e-07		1.00504552214814e+01
1.47000000000000e+00    	-1.46270462257462e+00 	 -8.08981037527799e-01   5.87785242595997e-01 	-1.00009051588881e+01	 -2.37789389627902e-04	-3.85991467421128e-07		1.00507762910941e+01
1.50000000000000e+00    	-1.49255576845165e+00 	 -8.08984435423992e-01   5.87785241398448e-01 	-1.00011322700386e+01	 -2.04759663823459e-03	-4.29487382187065e-07		1.00510024811189e+01
1.53000000000000e+00    	-1.52240691796174e+00 	 -8.08993178761589e-01   5.87785239943009e-01 	-1.00012170514724e+01	 -3.77437198661696e-03	-5.61109210721110e-07		1.00510873420017e+01
1.56000000000000e+00    	-1.55225806576526e+00 	 -8.09006610925106e-01   5.87785237969524e-01 	-1.00011292738685e+01	 -5.14438679690404e-03	-7.70878194732598e-07		1.00510006077677e+01
1.59000000000000e+00    	-1.58210920670551e+00 	 -8.09023281506331e-01   5.87785235317637e-01 	-1.00008618117225e+01	 -5.90639115486969e-03	-1.00350684007055e-06		1.00507348916697e+01
1.62000000000000e+00    	-1.61196033666145e+00 	 -8.09041076209365e-01   5.87785232033441e-01 	-1.00004343812066e+01	 -5.87348355926355e-03	-1.18198253455730e-06		1.00503095629254e+01
1.65000000000000e+00    	-1.64181145295070e+00 	 -8.09057465192179e-01   5.87785228372675e-01 	-9.99989346780388e+00	 -4.95957015311727e-03	-1.25061159587891e-06		1.00497708414055e+01
1.68000000000000e+00    	-1.67166255428834e+00 	 -8.09069844171380e-01   5.87785224673019e-01 	-9.99930807623415e+00	 -3.20402829836593e-03	-1.21524068729620e-06		1.00491876422545e+01
1.71000000000000e+00    	-1.70151364057412e+00 	 -8.09075925106240e-01   5.87785221143399e-01 	-9.99876154897835e+00	 -7.79390969982395e-04	-1.15482252908814e-06		1.00486433472773e+01
1.74000000000000e+00    	-1.73136471288158e+00 	 -8.09074120710852e-01   5.87785217681370e-01 	-9.99834031925425e+00	 2.02097081942020e-03	-1.19042268169169e-06		1.00482243816482e+01
1.77000000000000e+00    	-1.76121577386130e+00 	 -8.09063861990291e-01   5.87785213837879e-01 	-9.99812100698451e+00	 4.81531837799015e-03	-1.42120022407428e-06		1.00480071087553e+01
1.80000000000000e+00    	-1.79106682840139e+00 	 -8.09045792125021e-01   5.87785208984264e-01 	-9.99815765812607e+00	 7.18312735553760e-03	-1.85964940872737e-06		1.00480449916423e+01
1.83000000000000e+00    	-1.82091788401748e+00 	 -8.09021793688771e-01   5.87785202623331e-01 	-9.99847110378021e+00	 8.72571560816212e-03	-2.40597777421386e-06		1.00483581022596e+01
1.86000000000000e+00    	-1.85076895033049e+00 	 -8.08994828162775e-01   5.87785194684630e-01 	-9.99904232148527e+00	 9.12950493856053e-03	-2.88584341986086e-06		1.00489268429381e+01
1.89000000000000e+00    	-1.88062003728685e+00 	 -8.08968594231913e-01   5.87785185619758e-01 	-9.99981128277682e+00	 8.22228607513451e-03	-3.14162129158071e-06		1.00496912040693e+01
1.92000000000000e+00    	-1.91047115240812e+00 	 -8.08947040414934e-01   5.87785176197808e-01 	-1.00006820730151e+01	 6.01306623905876e-03	-3.13233014209230e-06		1.00505561081216e+01
1.95000000000000e+00    	-1.94032229801929e+00 	 -8.08933793577806e-01   5.87785167064203e-01 	-1.00015341357823e+01	 2.70780506793868e-03	-2.98291628772476e-06		1.00514025091743e+01
1.98000000000000e+00    	-1.97017346969899e+00 	 -8.08931583366853e-01   5.87785158283138e-01 	-1.00022384581674e+01	 -1.30356832087642e-03	-2.94280309187793e-06		1.00521030572385e+01
2.01000000000000e+00    	-2.00002465686296e+00 	 -8.08941750096454e-01   5.87785149137022e-01 	-1.00026765631383e+01	 -5.48940344659651e-03	-3.26118151199834e-06		1.00525404033169e+01
2.04000000000000e+00    	-2.02987584549656e+00 	 -8.08963918223238e-01   5.87785138353213e-01 	-1.00027595128873e+01	 -9.24391786585663e-03	-4.03862971256842e-06		1.00526256929566e+01
2.07000000000000e+00    	-2.05972702200590e+00 	 -8.08995899216546e-01   5.87785124702342e-01 	-1.00024439115963e+01	 -1.19719847298780e-02	-5.14027073641924e-06		1.00523145361192e+01
2.10000000000000e+00    	-2.08957817652867e+00 	 -8.09033858280812e-01   5.87785107678047e-01 	-1.00017421935623e+01	 -1.31796672880884e-02	-6.23428269008812e-06		1.00516178105891e+01
2.13000000000000e+00    	-2.11942930425636e+00 	 -8.09072742548457e-01   5.87785087865439e-01 	-1.00007252447088e+01	 -1.25572176019834e-02	-6.95557797886250e-06		1.00506051113313e+01
2.16000000000000e+00    	-2.14928040436009e+00 	 -8.09106928835578e-01   5.87785066721024e-01 	-9.99951648769098e+00	 -1.00412902664250e-02	-7.11896684522784e-06		1.00493995251042e+01
2.19000000000000e+00    	-2.17913147748280e+00 	 -8.09131012359652e-01   5.87785045789847e-01 	-9.99827777255530e+00	 -5.84516917977971e-03	-6.86276550305143e-06		1.00481636423390e+01
2.22000000000000e+00    	-2.20898252368473e+00 	 -8.09140629613818e-01   5.87785025727532e-01 	-9.99718857778327e+00	 -4.49735103833068e-04	-6.62456249280742e-06		1.00470781654203e+01
2.25000000000000e+00    	-2.23883354257776e+00 	 -8.09133193964567e-01   5.87785005676280e-01 	-9.99642101210575e+00	 5.44670998882806e-03	-6.93451538734974e-06		1.00463158778712e+01
2.28000000000000e+00    	-2.26868453607948e+00 	 -8.09108425193908e-01   5.87784983427291e-01 	-9.99611383786109e+00	 1.10154927264131e-02	-8.11854936262767e-06		1.00460147919772e+01
2.31000000000000e+00    	-2.29853551238404e+00 	 -8.09068575602496e-01   5.87784956405567e-01 	-9.99634915294770e+00	 1.54111999421493e-02	-1.00735034426883e-05		1.00462547196865e+01
2.34000000000000e+00    	-2.32838648844827e+00 	 -8.09018293940953e-01   5.87784923027868e-01 	-9.99713539385003e+00	 1.78966802885941e-02	-1.22601510637263e-05		1.00470411751065e+01
2.37000000000000e+00    	-2.35823748845379e+00 	 -8.08964119669651e-01   5.87784883688343e-01 	-9.99839985516947e+00	 1.79612788500943e-02	-1.39535624916068e-05		1.00482994716313e+01
2.40000000000000e+00    	-2.38808853751857e+00 	 -8.08913656463820e-01   5.87784840728242e-01 	-9.99999287739678e+00	 1.54138682219924e-02	-1.46430126951619e-05		1.00498803542895e+01
2.43000000000000e+00    	-2.41793965260085e+00 	 -8.08874526550360e-01   5.87784797248356e-01 	-1.00017042466685e+01	 1.04347972089630e-02	-1.43677275058054e-05		1.00515768276936e+01
2.46000000000000e+00    	-2.44779083461226e+00 	 -8.08853247591905e-01   5.87784755286459e-01 	-1.00032903583855e+01	 3.57605826213326e-03	-1.37800867232224e-05		1.00531502914534e+01
2.49000000000000e+00    	-2.47764206590493e+00 	 -8.08854194454182e-01   5.87784714335765e-01 	-1.00045086805247e+01	 -4.29389688634648e-03	-1.38579398650730e-05		1.00543628528334e+01
2.52000000000000e+00    	-2.50749331512210e+00 	 -8.08878805405667e-01   5.87784671124149e-01 	-1.00051544737633e+01	 -1.20961892431913e-02	-1.53833123728686e-05		1.00550118031705e+01
2.55000000000000e+00    	-2.53734454781220e+00 	 -8.08925165805506e-01   5.87784620967897e-01 	-1.00050940004195e+01	 -1.86860346768374e-02	-1.84595156865313e-05		1.00549617167577e+01
2.58000000000000e+00    	-2.56719573805000e+00 	 -8.08988055251552e-01   5.87784560136629e-01 	-1.00042887990623e+01	 -2.30169238132143e-02	-2.23554325229661e-05		1.00541694910283e+01
2.61000000000000e+00    	-2.59704687542588e+00 	 -8.09059482326152e-01   5.87784487993780e-01 	-1.00028069452740e+01	 -2.43015206215752e-02	-2.58152493224975e-05		1.00526980134187e+01
