0.00000000000000e+00    	0.00000000000000e+00 	 -2.85316954890000e+00  	9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.38849836541886e-12 	 -2.85316954890507e+00   9.27050983120000e-01 	2.27699099135056e-10	 -8.89907672044492e-10	-5.35415872199065e-20		1.00000000000000e+00
6.00000000000000e-02    	4.05032436937231e-11 	 -2.85316954910372e+00   9.27050983120000e-01 	3.23280727543388e-09	 -1.83022759384764e-08	-1.82076006249528e-17		1.00000000000000e+00
9.00000000000000e-02    	2.72713126262871e-10 	 -2.85316955073412e+00   9.27050983120000e-01 	1.39125059451919e-08	 -1.10941549194666e-07	-5.65437141091909e-16		1.00000000000001e+00
1.20000000000000e-01    	9.84065430931385e-10 	 -2.85316955769934e+00   9.27050983120000e-01 	3.52290660275538e-08	 -3.99770138024008e-07	-6.36690239318482e-15		1.00000000000008e+00
1.50000000000000e-01    	2.45340753660419e-09 	 -2.85316957853545e+00   9.27050983119999e-01 	6.28122863218582e-08	 -1.07193778550932e-06	-4.01876111101005e-14		1.00000000000058e+00
1.80000000000000e-01    	4.65013919944457e-09 	 -2.85316962823886e+00   9.27050983119997e-01 	7.95462242245994e-08	 -2.36719404067874e-06	-1.72566783274500e-13		1.00000000000280e+00
2.10000000000000e-01    	6.78054590972602e-09 	 -2.85316972941298e+00   9.27050983119987e-01 	5.10380988568124e-08	 -4.54617783061222e-06	-5.57403266242271e-13		1.00000000001034e+00
2.40000000000000e-01    	6.72244044983113e-09 	 -2.85316991220825e+00   9.27050983119958e-01 	-7.71580538826681e-08	 -7.84210716917320e-06	-1.43042643603508e-12		1.00000000003075e+00
2.70000000000000e-01    	4.12545142832216e-10 	 -2.85317021260648e+00   9.27050983119894e-01 	-3.79802741456653e-07	 -1.23994971852111e-05	-2.99158660658442e-12		1.00000000007695e+00
3.00000000000000e-01    	-1.87288561070596e-08 	 -2.85317066873939e+00   9.27050983119774e-01 	-9.49150480598899e-07	 -1.82054376331584e-05	-5.08443142081849e-12		1.00000000016617e+00
3.30000000000000e-01    	-6.02382337558468e-08 	 -2.85317131512051e+00   9.27050983119594e-01 	-1.88874207161120e-06	 -2.50204932530706e-05	-6.64354201788329e-12		1.00000000031480e+00
3.60000000000000e-01    	-1.36811749460308e-07 	 -2.85317217489857e+00   9.27050983119406e-01 	-3.30381583569566e-06	 -3.23173047758241e-05	-5.02940377440385e-12		1.00000000052766e+00
3.90000000000000e-01    	-2.64173692274445e-07 	 -2.85317325049043e+00   9.27050983119370e-01 	-5.28868247796473e-06	 -3.92353504169128e-05	4.40445460585785e-12		1.00000000078369e+00
4.20000000000000e-01    	-4.60528764702271e-07 	 -2.85317451320171e+00   9.27050983119811e-01 	-7.91174851131784e-06	 -4.45600040627949e-05	2.79318456818570e-11		1.00000000102409e+00
4.50000000000000e-01    	-7.45541952129585e-07 	 -2.85317589267424e+00   9.27050983121247e-01 	-1.11991893881065e-05	 -4.67329714595786e-05	7.15561575763894e-11		1.00000000115470e+00
4.80000000000000e-01    	-1.13882390805663e-06 	 -2.85317726718637e+00   9.27050983124326e-01 	-1.51185411014065e-05	 -4.38994252740796e-05	1.37018871597374e-10		1.00000000107786e+00
5.10000000000000e-01    	-1.65794100886393e-06 	 -2.85317845595792e+00   9.27050983129606e-01 	-1.95636762075485e-05	 -3.39947712768139e-05	2.15644910601697e-10		1.00000000076919e+00
