0.00000000000000e+00    	0.00000000000000e+00 	 -9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	-2.12132034364464e-02 	 -9.51056516308562e-01   3.09016994370000e-01 	-1.00000000038152e+00	 -2.05444518515288e-09	-3.52889680410786e-19		1.41421356264287e+00
6.00000000000000e-02    	-4.24264068913085e-02 	 -9.51056516591589e-01   3.09016994370000e-01 	-1.00000000402518e+00	 -3.48552018368931e-08	-1.12272219879934e-16		1.41421356521933e+00
9.00000000000000e-02    	-6.36396103990689e-02 	 -9.51056518537848e-01   3.09016994370000e-01 	-1.00000000858947e+00	 -1.74319587686915e-07	-3.06616979436901e-15		1.41421356844678e+00
1.20000000000000e-01    	-8.48528138626663e-02 	 -9.51056525367371e-01   3.09016994370000e-01 	-9.99999988676287e-01	 -5.06644970161927e-07	-2.83788265333145e-14		1.41421355436611e+00
1.50000000000000e-01    	-1.06066016729250e-01 	 -9.51056541541224e-01   3.09016994369998e-01 	-9.99999882389707e-01	 -1.04646872878823e-06	-1.35524506432923e-13		1.41421347921045e+00
1.80000000000000e-01    	-1.27279217587965e-01 	 -9.51056570182024e-01   3.09016994369993e-01 	-9.99999591304818e-01	 -1.63652488097736e-06	-3.93189849475553e-13		1.41421327338294e+00
2.10000000000000e-01    	-1.48492413864530e-01 	 -9.51056608487761e-01   3.09016994369981e-01 	-9.99998999290484e-01	 -1.86544300904034e-06	-7.23778220212577e-13		1.41421285476602e+00
2.40000000000000e-01    	-1.69705601820090e-01 	 -9.51056641946283e-01   3.09016994369964e-01 	-9.99998010654137e-01	 -1.04313951502930e-06	-8.26750740342881e-13		1.41421215569423e+00
2.70000000000000e-01    	-1.90918777035642e-01 	 -9.51056638932529e-01   3.09016994369946e-01 	-9.99996602161969e-01	 1.73435987259070e-06	-9.59546355564211e-13		1.41421115974189e+00
3.00000000000000e-01    	-2.12131935475204e-01 	 -9.51056547776692e-01   3.09016994369900e-01 	-9.99994877943408e-01	 7.41626248628667e-06	-4.64049639270817e-12		1.41420994055623e+00
3.30000000000000e-01    	-2.33345075081945e-01 	 -9.51056298446233e-01   3.09016994369646e-01 	-9.99993112462825e-01	 1.67346047417649e-05	-2.33006722900751e-11		1.41420869225625e+00
3.60000000000000e-01    	-2.54558197696321e-01 	 -9.51055810484025e-01   3.09016994368644e-01 	-9.99991765755062e-01	 2.98851904041061e-05	-8.01074835585471e-11		1.41420774021042e+00
3.90000000000000e-01    	-2.75771310927954e-01 	 -9.51055007793903e-01   3.09016994365751e-01 	-9.99991457627532e-01	 4.62128795771239e-05	-2.07055927505754e-10		1.41420752277156e+00
4.20000000000000e-01    	-2.96984429501176e-01 	 -9.51053839389363e-01   3.09016994359176e-01 	-9.99992893546226e-01	 6.39774415337652e-05	-4.29479073870495e-10		1.41420853880751e+00
4.50000000000000e-01    	-3.18197575561739e-01 	 -9.51052303557559e-01   3.09016994346900e-01 	-9.99996743763951e-01	 8.02780628223853e-05	-7.38873663674153e-10		1.41421126214688e+00
4.80000000000000e-01    	-3.39410777502446e-01 	 -9.51050471353845e-01   3.09016994327674e-01 	-1.00000348759869e+00	 9.12005412003746e-05	-1.06808869744427e-09		1.41421603142062e+00
5.10000000000000e-01    	-3.60624067045230e-01 	 -9.51048504274639e-01   3.09016994302304e-01 	-1.00001324485243e+00	 9.22212823415950e-05	-1.29549685451626e-09		1.41422293093594e+00
5.40000000000000e-01    	-3.81837474593862e-01 	 -9.51046660667546e-01   3.09016994274284e-01 	-1.00002562420931e+00	 7.88595237608363e-05	-1.30442994685744e-09		1.41423168373999e+00
5.70000000000000e-01    	-4.03051023212220e-01 	 -9.51045286141272e-01   3.09016994248530e-01 	-1.00003962222681e+00	 4.75195938838624e-05	-1.10046081016253e-09		1.41424158059423e+00
6.00000000000000e-01    	-4.24264721937723e-01 	 -9.51044784998977e-01   3.09016994227340e-01 	-1.00005360484301e+00	 -3.58359622430222e-06	-9.43914954292150e-10		1.41425146723358e+00
6.30000000000000e-01    	-4.45478559445895e-01 	 -9.51045572421536e-01   3.09016994204141e-01 	-1.00006539551821e+00	 -7.35613591251785e-05	-1.40922141591766e-09		1.41425980665657e+00
6.60000000000000e-01    	-4.66692499274455e-01 	 -9.51048010469415e-01   3.09016994157648e-01 	-1.00007248051259e+00	 -1.58216291532915e-04	-3.27180544447481e-09		1.41426482361367e+00
6.90000000000000e-01    	-4.87906477835602e-01 	 -9.51052334490845e-01   3.09016994050739e-01 	-1.00007232373220e+00	 -2.49797173215672e-04	-7.17857526947705e-09		1.41426472595966e+00
7.20000000000000e-01    	-5.09120406254870e-01 	 -9.51058579653112e-01   3.09016993838038e-01 	-1.00006276340587e+00	 -3.37272854425856e-04	-1.31810663431160e-08		1.41425798371583e+00
