0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	9.51056516300000e-01    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	-2.12132034347412e-02 	 3.09016994373760e-01   9.51056516300000e-01 	-9.99999999617069e-01	 7.98923339709547e-10	-1.41201395214539e-19		1.41421356210232e+00
6.00000000000000e-02    	-4.24264068512693e-02 	 3.09016994428872e-01   9.51056516300000e-01 	-9.99999996053649e-01	 3.96666577056634e-09	-1.83734407262341e-17		1.41421355958260e+00
9.00000000000000e-02    	-6.36396102185900e-02 	 3.09016994335306e-01   9.51056516300000e-01 	-9.99999992289058e-01	 -2.53707165976768e-08	1.76785355651120e-16		1.41421355692064e+00
1.20000000000000e-01    	-8.48528136492799e-02 	 3.09016992242515e-01   9.51056516300000e-01 	-1.00000001539978e+00	 -2.15882595514452e-07	8.12475753641494e-15		1.41421357326240e+00
1.50000000000000e-01    	-1.06066017735236e-01 	 3.09016982309071e-01   9.51056516300001e-01 	-1.00000012998282e+00	 -8.14976735505192e-07	7.41188448305221e-14		1.41421365428507e+00
1.80000000000000e-01    	-1.27279223957596e-01 	 3.09016952424916e-01   9.51056516300005e-01 	-1.00000043747485e+00	 -2.15495043760820e-06	3.43604577612583e-13		1.41421387171620e+00
2.10000000000000e-01    	-1.48492434988642e-01 	 3.09016883371298e-01   9.51056516300018e-01 	-1.00000105595478e+00	 -4.55143150656887e-06	9.45363072091776e-13		1.41421430905340e+00
2.40000000000000e-01    	-1.69705654672392e-01 	 3.09016750770415e-01   9.51056516300044e-01 	-1.00000208022285e+00	 -8.14562954555112e-06	1.33187380328061e-12		1.41421503333700e+00
2.70000000000000e-01    	-1.90918887500544e-01 	 3.09016530709906e-01   9.51056516300055e-01 	-1.00000352805720e+00	 -1.27225051594047e-05	-1.11962345505483e-12		1.41421605714569e+00
3.00000000000000e-01    	-2.12132137494150e-01 	 3.09016209065836e-01   9.51056516299934e-01 	-1.00000528420293e+00	 -1.75527801275162e-05	-1.24465071933711e-11		1.41421729898268e+00
3.30000000000000e-01    	-2.33345406546327e-01 	 3.09015793440840e-01   9.51056516299404e-01 	-1.00000705746036e+00	 -2.13134174151907e-05	-4.11580310506712e-11		1.41421855292058e+00
3.60000000000000e-01    	-2.54558692451678e-01 	 3.09015325508477e-01   9.51056516298025e-01 	-1.00000836707562e+00	 -2.21359450924476e-05	-9.24796440537186e-11		1.41421947897462e+00
3.90000000000000e-01    	-2.75771987008229e-01 	 3.09014890675843e-01   9.51056516295374e-01 	-1.00000857185524e+00	 -1.78141019031312e-05	-1.58013551751541e-10		1.41421962371525e+00
4.20000000000000e-01    	-2.96985274688874e-01 	 3.09014621597450e-01   9.51056516291432e-01 	-1.00000694905194e+00	 -6.17356194271657e-06	-2.07195318005214e-10		1.41421847611686e+00
4.50000000000000e-01    	-3.18198532407133e-01 	 3.09014692382899e-01   9.51056516287033e-01 	-1.00000282084390e+00	 1.44288359038523e-05	-1.93199102971270e-10		1.41421555708596e+00
4.80000000000000e-01    	-3.39411730823402e-01 	 3.09015301417358e-01   9.51056516283914e-01 	-9.99995715545997e-01	 4.45448085829378e-05	-8.57645889065000e-11		1.41421053351140e+00
5.10000000000000e-01    	-3.60624837446887e-01 	 3.09016642495203e-01   9.51056516283765e-01 	-9.99985540398161e-01	 8.31111911487665e-05	6.92201676941166e-11		1.41420334036972e+00
5.40000000000000e-01    	-3.81837821499534e-01 	 3.09018866243876e-01   9.51056516285926e-01 	-9.99972734900195e-01	 1.27077470820683e-04	8.78704199834299e-11		1.41419428887705e+00
5.70000000000000e-01    	-4.03050660155945e-01 	 3.09022036247831e-01   9.51056516284163e-01 	-9.99958370079770e-01	 1.71296182045843e-04	-3.67250676192836e-10		1.41418413625488e+00
6.00000000000000e-01    	-4.24263345410047e-01 	 3.09026086446157e-01   9.51056516264078e-01 	-9.99944161184690e-01	 2.08764627268701e-04	-1.70469116294407e-09		1.41417409432857e+00
6.30000000000000e-01    	-4.45475890509104e-01 	 3.09030787823508e-01   9.51056516203503e-01 	-9.99932369697744e-01	 2.31262431677911e-04	-4.20778786988354e-09		1.41416576024583e+00
6.60000000000000e-01    	-4.66688334705931e-01 	 3.09035732745664e-01   9.51056516077836e-01 	-9.99925584907643e-01	 2.30369258426707e-04	-7.78259525297983e-09		1.41416096269940e+00
6.90000000000000e-01    	-4.87900745070302e-01 	 3.09040344238697e-01   9.51056515870127e-01 	-9.99926394072554e-01	 1.98778291890690e-04	-1.17898881999489e-08		1.41416153005085e+00
7.20000000000000e-01    	-5.09113214309405e-01 	 3.09043914996119e-01   9.51056515582285e-01 	-9.99936971007906e-01	 1.31754054339371e-04	-1.51355619389210e-08		1.41416900098524e+00
