0.00000000000000e+00    	0.00000000000000e+00 	 -1.83697019870000e-16  	-1.00000000000000e+00    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	-2.12132034343186e-02 	 -9.13728760353646e-12   -1.00000000000000e+00 	-9.99999999403786e-01	 -2.13167642525125e-09	1.26744799126365e-19		1.41421356195151e+00
6.00000000000000e-02    	-4.24264068333639e-02 	 -2.70504419648772e-10   -1.00000000000000e+00 	-9.99999991460991e-01	 -3.05299981891459e-08	5.67655288610077e-17		1.41421355633510e+00
9.00000000000000e-02    	-6.36396100564555e-02 	 -1.79006456936607e-09   -1.00000000000000e+00 	-9.99999964726594e-01	 -1.26114974029354e-07	1.72653731228725e-15		1.41421353743104e+00
1.20000000000000e-01    	-8.48528128913997e-02 	 -6.08515331557456e-09   -1.00000000000000e+00 	-9.99999920849329e-01	 -2.82991770902357e-07	1.60233671948207e-14		1.41421350640515e+00
1.50000000000000e-01    	-1.06066015313643e-01 	 -1.33313422744545e-08   -9.99999999999999e-01 	-9.99999897190734e-01	 -3.67579621313574e-07	6.88038344577837e-14		1.41421348967602e+00
1.80000000000000e-01    	-1.27279217965342e-01 	 -1.89367626959046e-08   -9.99999999999997e-01 	-9.99999983965725e-01	 -5.73282072358032e-08	1.37328204161492e-13		1.41421355103515e+00
2.10000000000000e-01    	-1.48492422743283e-01 	 -9.33802789193989e-09   -9.99999999999995e-01 	-1.00000032614608e+00	 1.16608947738538e-06	-5.14848989203100e-14		1.41421379299370e+00
2.40000000000000e-01    	-1.69705633293141e-01 	 4.15343716609526e-08   -1.00000000000001e+00 	-1.00000110309344e+00	 3.94396384425390e-06	-1.15824191228125e-12		1.41421434238366e+00
2.70000000000000e-01    	-1.90918855158275e-01 	 1.73320951746867e-07   -1.00000000000005e+00 	-1.00000248399570e+00	 8.88122968445362e-06	-3.53231251144083e-12		1.41421531885228e+00
3.00000000000000e-01    	-2.12132095344806e-01 	 4.36125110550167e-07   -1.00000000000015e+00 	-1.00000456372809e+00	 1.63171575918469e-05	-4.60774467428382e-12		1.41421678951399e+00
3.30000000000000e-01    	-2.33345361149712e-01 	 8.82135174187280e-07   -1.00000000000017e+00 	-1.00000729040777e+00	 2.60663279402647e-05	5.69990205704833e-12		1.41421871771949e+00
3.60000000000000e-01    	-2.54558658248030e-01 	 1.55194657691399e-06   -9.99999999999676e-01 	-1.00001040115660e+00	 3.71889124465977e-05	4.89924543550886e-11		1.41422091760955e+00
3.90000000000000e-01    	-2.75771988226578e-01 	 2.45692119040479e-06   -9.99999999997642e-01 	-1.00001338505023e+00	 4.78581182674687e-05	1.56128714591305e-10		1.41422302787432e+00
4.20000000000000e-01    	-2.96985345949417e-01 	 3.56033718317556e-06   -9.99999999992410e-01 	-1.00001549093652e+00	 5.53880675058183e-05	3.53017214074225e-10		1.41422451724641e+00
4.50000000000000e-01    	-3.18198717302181e-01 	 4.76124612506395e-06   -9.99999999982048e-01 	-1.00001579240957e+00	 5.64661391138971e-05	6.35179461796419e-10		1.41422473046435e+00
4.80000000000000e-01    	-3.39412077946593e-01 	 5.88556382532635e-06   -9.99999999965257e-01 	-1.00001331314739e+00	 4.76013421951186e-05	9.44453353912697e-10		1.41422297702233e+00
5.10000000000000e-01    	-3.60625393690147e-01 	 6.68873739107808e-06   -9.99999999942546e-01 	-1.00000720424430e+00	 2.57587984410450e-05	1.17344948156342e-09		1.41421865678686e+00
5.40000000000000e-01    	-3.81838622922551e-01 	 6.87322705799384e-06   -9.99999999916767e-01 	-9.99996952895238e-01	 -1.08936620205572e-05	1.22332252768188e-09		1.41421140778825e+00
5.70000000000000e-01    	-4.03051721294268e-01 	 6.12204451935842e-06   -9.99999999891804e-01 	-9.99982590983243e-01	 -6.22396114883577e-05	1.11786783860557e-09		1.41420125376247e+00
6.00000000000000e-01    	-4.24264648440189e-01 	 4.14689649912282e-06   -9.99999999868562e-01 	-9.99964864974398e-01	 -1.25607241127292e-04	1.13344166883548e-09		1.41418872395464e+00
