0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	-8.09016994370000e-01    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	-2.12132034349676e-02 	 5.87785252290930e-01   -8.09016994370000e-01 	-9.99999999681041e-01	 1.24962772092681e-10	3.27071633391277e-20		1.41421356214756e+00
6.00000000000000e-02    	-4.24264068440205e-02 	 5.87785252255884e-01   -8.09016994370000e-01 	-9.99999992992810e-01	 -6.99832635490551e-09	-1.02007803057811e-17		1.41421355741826e+00
9.00000000000000e-02    	-6.36396100577618e-02 	 5.87785251565471e-01   -8.09016994370000e-01 	-9.99999957430475e-01	 -7.79966995656173e-08	-3.86362126509284e-16		1.41421353227190e+00
1.20000000000000e-01    	-8.48528125680139e-02 	 5.87785247464670e-01   -8.09016994370000e-01 	-9.99999852616012e-01	 -3.61878443932674e-07	-1.22487379412991e-15		1.41421345815693e+00
1.50000000000000e-01    	-1.06066013397964e-01 	 5.87785233019407e-01   -8.09016994370000e-01 	-9.99999634149553e-01	 -1.09846546575764e-06	2.71315883025892e-14		1.41421330367821e+00
1.80000000000000e-01    	-1.27279211196309e-01 	 5.87785195747384e-01   -8.09016994369997e-01 	-9.99999281316492e-01	 -2.55519315180443e-06	3.03979891033160e-13		1.41421305418951e+00
2.10000000000000e-01    	-1.48492404671748e-01 	 5.87785118236333e-01   -8.09016994369980e-01 	-9.99998832073601e-01	 -4.90512007444373e-06	1.64619036733336e-12		1.41421273653317e+00
2.40000000000000e-01    	-1.69705593391546e-01 	 5.87784981786048e-01   -8.09016994369907e-01 	-9.99998414719328e-01	 -8.06929486555077e-06	5.97365344141859e-12		1.41421244143385e+00
2.70000000000000e-01    	-1.90918778843880e-01 	 5.87784773427155e-01   -8.09016994369685e-01 	-9.99998263901421e-01	 -1.15638553466870e-05	1.61932499134805e-11		1.41421233481383e+00
3.00000000000000e-01    	-2.12131965536314e-01 	 5.87784495693869e-01   -8.09016994369162e-01 	-9.99998709816562e-01	 -1.44018890457204e-05	3.44543188943553e-11		1.41421265014926e+00
3.30000000000000e-01    	-2.33345161804570e-01 	 5.87784177458221e-01   -8.09016994368178e-01 	-1.00000013372462e+00	 -1.50988933402716e-05	5.87709530170660e-11		1.41421365701128e+00
3.60000000000000e-01    	-2.54558379966889e-01 	 5.87783883217355e-01   -8.09016994366684e-01 	-1.00000288971018e+00	 -1.18173318518555e-05	8.07246306912549e-11		1.41421560575761e+00
3.90000000000000e-01    	-2.75771635501466e-01 	 5.87783717714124e-01   -8.09016994364846e-01 	-1.00000720086586e+00	 -2.66137007411125e-06	8.99732966982500e-11		1.41421865416585e+00
4.20000000000000e-01    	-2.96984945055115e-01 	 5.87783822866643e-01   -8.09016994362934e-01 	-1.00001304620804e+00	 1.38991419372367e-05	9.11767611196549e-11		1.41422278753366e+00
4.50000000000000e-01    	-3.18198323300564e-01 	 5.87784364791114e-01   -8.09016994360713e-01 	-1.00002006094915e+00	 3.85305558998023e-05	1.32306805296802e-10		1.41422774820230e+00
4.80000000000000e-01    	-3.39411778919602e-01 	 5.87785510201518e-01   -8.09016994356228e-01 	-1.00002747564564e+00	 7.05480737165962e-05	3.30472367509189e-10		1.41423299248152e+00
5.10000000000000e-01    	-3.60625310256350e-01 	 5.87787393494574e-01   -8.09016994344288e-01 	-1.00003411805276e+00	 1.07542796356880e-04	8.69231153168076e-10		1.41423769177427e+00
5.40000000000000e-01    	-3.81838901406612e-01 	 5.87790078083188e-01   -8.09016994315551e-01 	-1.00003849478467e+00	 1.45229052740498e-04	1.94191886607906e-09		1.41424079001515e+00
5.70000000000000e-01    	-4.03052519632586e-01 	 5.87793517637254e-01   -8.09016994257431e-01 	-1.00003895851879e+00	 1.77600417039450e-04	3.63891799331750e-09		1.41424112162575e+00
6.00000000000000e-01    	-4.24266114974338e-01 	 5.87797524402106e-01   -8.09016994157666e-01 	-1.00003395182936e+00	 1.97445526024004e-04	5.82102575593596e-09		1.41423758392859e+00
6.30000000000000e-01    	-4.45479622747109e-01 	 5.87801752301995e-01   -8.09016994009982e-01 	-1.00002230290696e+00	 1.97221054488336e-04	8.06557330511640e-09		1.41422934674949e+00
6.60000000000000e-01    	-4.66692969270519e-01 	 5.87805701816524e-01   -8.09016993819243e-01 	-1.00000353402871e+00	 1.70215692727297e-04	9.78206044614598e-09		1.41421607155459e+00
6.90000000000000e-01    	-4.87906080704276e-01 	 5.87808751530746e-01   -8.09016993601895e-01 	-9.99978133381468e-01	 1.11875001364159e-04	1.05393453843202e-08		1.41419810484850e+00
7.20000000000000e-01    	-5.09118894322841e-01 	 5.87810217906673e-01   -8.09016993377787e-01 	-9.99947737030106e-01	 2.11032951729075e-05	1.05258919345641e-08		1.41417660751300e+00
7.50000000000000e-01    	-5.30331371023652e-01 	 5.87809440533908e-01   -8.09016993152648e-01 	-9.99915172011809e-01	 -9.86742452887536e-05	1.09240343753909e-08		1.41415358464207e+00
7.80000000000000e-01    	-5.51543507412349e-01 	 5.87805885423476e-01   -8.09016992896149e-01 	-9.99884324212744e-01	 -2.38909575020608e-04	1.39040894294289e-08		1.41413178978628e+00
8.10000000000000e-01    	-5.72755345523651e-01 	 5.87799254495083e-01   -8.09016992526210e-01 	-9.99859815141185e-01	 -3.85979211012064e-04	2.20210409095851e-08		1.41411449285909e+00
8.40000000000000e-01    	-5.93966978186928e-01 	 5.87789586020995e-01   -8.09016991912387e-01 	-9.99846498065424e-01	 -5.22004375442770e-04	3.70554206064678e-08		1.41410512062656e+00
8.70000000000000e-01    	-6.15178548281499e-01 	 5.87777329133025e-01   -8.09016990906464e-01 	-9.99848813291755e-01	 -6.26471101359056e-04	5.87071050358334e-08		1.41410680003562e+00
9.00000000000000e-01    	-6.36390240671986e-01 	 5.87763376117700e-01   -8.09016989396210e-01 	-9.99870070822431e-01	 -6.78561739216181e-04	8.38478137763716e-08		1.41412185435785e+00
9.30000000000000e-01    	-6.57602266455365e-01 	 5.87749039396756e-01   -8.09016987362521e-01 	-9.99911751918375e-01	 -6.59988384125047e-04	1.07048548593940e-07		1.41415131694213e+00
9.60000000000000e-01    	-6.78814840225745e-01 	 5.87735965746367e-01   -8.09016984908541e-01 	-9.99972934771757e-01	 -5.58010065272443e-04	1.22685419288737e-07		1.41419453458543e+00
9.90000000000000e-01    	-7.00028152250156e-01 	 5.87725987994002e-01   -8.09016982230754e-01 	-1.00004994970266e+00	 -3.68236871139232e-04	1.28151996881129e-07		1.41424893052769e+00
1.02000000000000e+00    	-7.21242338573587e-01 	 5.87720923323499e-01   -8.09016979521140e-01 	-1.00013635353417e+00	 -9.67911255871999e-05	1.26870462436982e-07		1.41430998548026e+00
1.05000000000000e+00    	-7.42457452925401e-01 	 5.87722336304739e-01   -8.09016976823069e-01 	-1.00022328077983e+00	 2.38580823966264e-04	1.29356451865846e-07		1.41437147466102e+00
1.08000000000000e+00    	-7.63673444680074e-01 	 5.87731292574278e-01   -8.09016973898305e-01 	-1.00030018351656e+00	 6.08768588559562e-04	1.50961318098934e-07		1.41442597110718e+00
1.11000000000000e+00    	-7.84890146889854e-01 	 5.87748134469829e-01   -8.09016970179569e-01 	-1.00035591772610e+00	 9.75111188325940e-04	2.06192614883407e-07		1.41446559271391e+00
1.14000000000000e+00    	-8.06107277518798e-01 	 5.87772311800133e-01   -8.09016964866275e-01 	-1.00038007912864e+00	 1.29276070074250e-03	3.01327350527232e-07		1.41448293519142e+00
