0.00000000000000e+00    	0.00000000000000e+00 	 -9.51056516300000e-01  	-3.09016994370000e-01    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	-2.12132034367564e-02 	 -9.51056516293778e-01   -3.09016994370000e-01 	-1.00000000055633e+00	 1.39467972452412e-09	-1.09031877428291e-19		1.41421356276648e+00
6.00000000000000e-02    	-4.24264069105825e-02 	 -9.51056516153904e-01   -3.09016994370000e-01 	-1.00000000940675e+00	 1.45433730437809e-08	-4.20455206354689e-18		1.41421356902468e+00
9.00000000000000e-02    	-6.36396106082866e-02 	 -9.51056515641463e-01   -3.09016994370000e-01 	-1.00000004689588e+00	 2.97387293224983e-08	1.46906054354791e-16		1.41421359553349e+00
1.20000000000000e-01    	-8.48528149607116e-02 	 -9.51056515521387e-01   -3.09016994370000e-01 	-1.00000013582831e+00	 -4.87546511719365e-08	2.25999714722759e-17		1.41421365841822e+00
1.50000000000000e-01    	-1.06066020559326e-01 	 -9.51056519970658e-01   -3.09016994370000e-01 	-1.00000027932983e+00	 -4.51712374933597e-07	-2.81869918022388e-14		1.41421375988920e+00
1.80000000000000e-01    	-1.27279227804859e-01 	 -9.51056539541690e-01   -3.09016994370003e-01 	-1.00000043391619e+00	 -1.54376593528210e-06	-2.86858171389040e-13		1.41421386919905e+00
2.10000000000000e-01    	-1.48492436287882e-01 	 -9.51056593378487e-01   -3.09016994370019e-01 	-1.00000048767485e+00	 -3.75221586062791e-06	-1.52657698166122e-12		1.41421390721631e+00
2.40000000000000e-01    	-1.69705644012367e-01 	 -9.51056709150281e-01   -3.09016994370086e-01 	-1.00000025415355e+00	 -7.42460808257790e-06	-5.47316192509085e-12		1.41421374210630e+00
2.70000000000000e-01    	-1.90918846676848e-01 	 -9.51056919371917e-01   -3.09016994370288e-01 	-9.99999490431414e-01	 -1.26357707139477e-05	-1.45375590858170e-11		1.41421320211019e+00
3.00000000000000e-01    	-2.12132037294709e-01 	 -9.51057253443179e-01   -3.09016994370748e-01 	-9.99997943098655e-01	 -1.89854378621103e-05	-2.97060958442864e-11		1.41421210805239e+00
3.30000000000000e-01    	-2.33345206440715e-01 	 -9.51057725775101e-01   -3.09016994371562e-01 	-9.99995419246922e-01	 -2.54415339227874e-05	-4.64894446283643e-11		1.41421032352409e+00
3.60000000000000e-01    	-2.54558343341571e-01 	 -9.51058321596515e-01   -3.09016994372639e-01 	-9.99991872308039e-01	 -3.02875381302206e-05	-5.15890606679537e-11		1.41420781556300e+00
3.90000000000000e-01    	-2.75771437884963e-01 	 -9.51058983194987e-01   -3.09016994373532e-01 	-9.99987486183647e-01	 -3.12227200507010e-05	-2.61281186290426e-11		1.41420471414104e+00
4.20000000000000e-01    	-2.96984483421582e-01 	 -9.51059600162997e-01   -3.09016994373461e-01 	-9.99982737101097e-01	 -2.56414186400807e-05	3.86051601616242e-11		1.41420135594536e+00
4.50000000000000e-01    	-3.18197480010549e-01 	 -9.51060007440130e-01   -3.09016994371807e-01 	-9.99978412249909e-01	 -1.10845118325709e-05	1.13526859974703e-10		1.41419829765444e+00
4.80000000000000e-01    	-3.39410437553498e-01 	 -9.51059994393166e-01   -3.09016994369211e-01 	-9.99975568186558e-01	 1.41822492776421e-05	1.05993946719853e-10		1.41419628664877e+00
5.10000000000000e-01    	-3.60623378122866e-01 	 -9.51059326810962e-01   -3.09016994368975e-01 	-9.99975420187745e-01	 5.05456076784518e-05	-1.37488806602212e-10		1.41419618283126e+00
5.40000000000000e-01    	-3.81836336756944e-01 	 -9.51057781613870e-01   -3.09016994377845e-01 	-9.99979165308782e-01	 9.64890651569463e-05	-7.73268502838615e-10		1.41419883339005e+00
5.70000000000000e-01    	-4.03049360095022e-01 	 -9.51055191545082e-01   -3.09016994404916e-01 	-9.99987755240286e-01	 1.48228427762883e-04	-1.84357794534614e-09		1.41420491181518e+00
6.00000000000000e-01    	-4.24262502466838e-01 	 -9.51051494509173e-01   -3.09016994457754e-01 	-1.00000164799568e+00	 1.99655741729974e-04	-3.14209485355641e-09		1.41421474177598e+00
6.30000000000000e-01    	-4.45475819413606e-01 	 -9.51046780014532e-01   -3.09016994536224e-01 	-1.00002057764125e+00	 2.42678882258438e-04	-4.15019590907580e-09		1.41422813385924e+00
6.60000000000000e-01    	-4.66689359061864e-01 	 -9.51041323832181e-01   -3.09016994626639e-01 	-1.00004338651271e+00	 2.67993142508896e-04	-4.14478007225436e-09		1.41424426699497e+00
6.90000000000000e-01    	-4.87903152236347e-01 	 -9.51035601901492e-01   -3.09016994700513e-01 	-1.00006796300415e+00	 2.66254499121782e-04	-2.52510940592326e-09		1.41426164535376e+00
