0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e+00  	-3.09016994370000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.02632526598975e-13 	 9.51056516301480e+00   -3.09016994370000e+00 	-3.41530485139295e-11	 2.59768503767383e-09	4.24259918336484e-20		1.00000000000000e+00
6.00000000000000e-02    	-6.79299479280066e-12 	 9.51056516359468e+00   -3.09016994370000e+00 	-5.74458104084015e-10	 5.34252597356684e-08	1.90888639873444e-17		1.00000000000000e+00
9.00000000000000e-02    	-5.30453717718044e-11 	 9.51056516835389e+00   -3.09016994370000e+00 	-2.98064175965579e-09	 3.23843940516392e-07	7.28062672107652e-16		1.00000000000005e+00
1.20000000000000e-01    	-2.25870436722470e-10 	 9.51056518868572e+00   -3.09016994370000e+00 	-9.42507711450213e-09	 1.16694909915500e-06	9.70482892733825e-15		1.00000000000068e+00
1.50000000000000e-01    	-6.84712965106522e-10 	 9.51056524950738e+00   -3.09016994370000e+00 	-2.24766263864032e-08	 3.12904037566533e-06	7.12155788786555e-14		1.00000000000490e+00
1.80000000000000e-01    	-1.66361180761878e-09 	 9.51056539459413e+00   -3.09016994369999e+00 	-4.44025576007111e-08	 6.90995915925771e-06	3.53330188902152e-13		1.00000000002387e+00
2.10000000000000e-01    	-3.44889248934197e-09 	 9.51056568992654e+00   -3.09016994369997e+00 	-7.62564530294217e-08	 1.32705243195214e-05	1.32354981791432e-12		1.00000000008806e+00
2.40000000000000e-01    	-6.32753030848961e-09 	 9.51056622351523e+00   -3.09016994369990e+00 	-1.16854818113660e-07	 2.28915117206937e-05	3.99710472300597e-12		1.00000000026202e+00
2.70000000000000e-01    	-1.05047688766940e-08 	 9.51056710039306e+00   -3.09016994369970e+00 	-1.61775020441988e-07	 3.61947681360659e-05	1.01433567519868e-11		1.00000000065504e+00
3.00000000000000e-01    	-1.59938943580572e-08 	 9.51056843186843e+00   -3.09016994369923e+00 	-2.02527492115088e-07	 5.31426055758891e-05	2.22177645261574e-11		1.00000000141209e+00
3.30000000000000e-01    	-2.24857616179917e-08 	 9.51057031868795e+00   -3.09016994369828e+00 	-2.26058936059917e-07	 7.30360956787990e-05	4.27275351457842e-11		1.00000000266716e+00
3.60000000000000e-01    	-2.92101373341527e-08 	 9.51057282842378e+00   -3.09016994369657e+00 	-2.14723206014065e-07	 9.43358464162543e-05	7.28421046772848e-11		1.00000000444965e+00
