0.00000000000000e+00    	0.00000000000000e+00 	 -2.42705098310000e+00  	-1.76335575690000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-9.22797870900661e-14 	 -2.42705098309826e+00   -1.76335575690000e+00 	-1.50490849656465e-11	 2.76602796940255e-10	-9.69883545973737e-22		1.00000000000000e+00
6.00000000000000e-02    	-2.61177669449408e-12 	 -2.42705098305756e+00   -1.76335575690000e+00 	-2.05532311484423e-10	 3.08379829399387e-09	-6.80316744934227e-20		1.00000000000000e+00
9.00000000000000e-02    	-1.69220253479500e-11 	 -2.42705098288303e+00   -1.76335575690000e+00 	-8.38356910939207e-10	 8.48335801652222e-09	7.41401296229363e-19		1.00000000000000e+00
1.20000000000000e-01    	-5.79330786165629e-11 	 -2.42705098264163e+00   -1.76335575690000e+00 	-1.95238572545365e-09	 3.79739183239578e-09	9.06924111744311e-18		1.00000000000000e+00
1.50000000000000e-01    	-1.33392249136272e-10 	 -2.42705098310262e+00   -1.76335575690000e+00 	-2.96578525574655e-09	 -4.66724779145009e-08	-7.10638656663587e-17		1.00000000000000e+00
1.80000000000000e-01    	-2.19590634220534e-10 	 -2.42705098655243e+00   -1.76335575690000e+00 	-2.30732980923923e-09	 -2.09348464177996e-07	-1.35347635491924e-15		1.00000000000002e+00
2.10000000000000e-01    	-2.27186157956631e-10 	 -2.42705099778037e+00   -1.76335575690000e+00 	2.86314789541656e-09	 -5.84799786689234e-07	-9.57850228698165e-15		1.00000000000017e+00
2.40000000000000e-01    	3.92576403269909e-11 	 -2.42705102508532e+00   -1.76335575690000e+00 	1.67848441678836e-08	 -1.30554448892915e-06	-4.45506189451745e-14		1.00000000000085e+00
2.70000000000000e-01    	9.22759152489951e-10 	 -2.42705108112125e+00   -1.76335575690000e+00 	4.50273273478815e-08	 -2.52740238734863e-06	-1.58488314145156e-13		1.00000000000319e+00
3.00000000000000e-01    	2.94993102379738e-09 	 -2.42705118338314e+00   -1.76335575690001e+00 	9.41903344553637e-08	 -4.41420056114344e-06	-4.63389564631511e-13		1.00000000000975e+00
3.30000000000000e-01    	6.85433443665056e-09 	 -2.42705135413975e+00   -1.76335575690004e+00 	1.71360010907940e-07	 -7.11633022778726e-06	-1.16073283741264e-12		1.00000000002534e+00
3.60000000000000e-01    	1.35799816484201e-08 	 -2.42705161964508e+00   -1.76335575690009e+00 	2.83333215370302e-07	 -1.07443661966869e-05	-2.55724573713942e-12		1.00000000005776e+00
3.90000000000000e-01    	2.42585128425672e-08 	 -2.42705200850719e+00   -1.76335575690020e+00 	4.35646295867367e-07	 -1.53396303754920e-05	-5.04162214642543e-12		1.00000000011775e+00
4.20000000000000e-01    	4.01550314894556e-08 	 -2.42705254915805e+00   -1.76335575690041e+00 	6.31468880663747e-07	 -2.08441524689518e-05	-8.99471016776717e-12		1.00000000021744e+00
4.50000000000000e-01    	6.25797323006797e-08 	 -2.42705326644877e+00   -1.76335575690076e+00 	8.70444908384943e-07	 -2.70729017987875e-05	-1.46162074732113e-11		1.00000000036685e+00
