0.00000000000000e+00    	0.00000000000000e+00 	 -3.09016994370000e-01  	9.51056516300000e-01    1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.00000000000000e-02    	2.12132034356019e-02 	 -3.09016994369995e-01   9.51056516300000e-01 	1.00000000000257e+00	 1.19270863980762e-12	6.76956150469357e-25		1.41421356237491e+00
6.00000000000000e-02    	4.24264068713709e-02 	 -3.09016994369832e-01   9.51056516300000e-01 	1.00000000004235e+00	 2.01161353878645e-11	1.67446745780329e-22		1.41421356240304e+00
9.00000000000000e-02    	6.36396103081714e-02 	 -3.09016994368672e-01   9.51056516300000e-01 	1.00000000021993e+00	 1.06855834824316e-10	4.08983540655493e-21		1.41421356252861e+00
1.20000000000000e-01    	8.48528137483285e-02 	 -3.09016994364184e-01   9.51056516300000e-01 	1.00000000071114e+00	 3.52876451750500e-10	3.83355514183742e-20		1.41421356287595e+00
1.50000000000000e-01    	1.06066017196453e-01 	 -3.09016994351607e-01   9.51056516300000e-01 	1.00000000177178e+00	 8.96737041209015e-10	2.10603186213440e-19		1.41421356362593e+00
1.80000000000000e-01    	1.27279220660306e-01 	 -3.09016994322700e-01   9.51056516300000e-01 	1.00000000374025e+00	 1.92864857117306e-09	8.16710464941725e-19		1.41421356501785e+00
2.10000000000000e-01    	1.48492424151678e-01 	 -3.09016994264610e-01   9.51056516300000e-01 	1.00000000703783e+00	 3.69378745335326e-09	2.45954998042393e-18		1.41421356734959e+00
2.40000000000000e-01    	1.69705627687260e-01 	 -3.09016994158679e-01   9.51056516300000e-01 	1.00000001216676e+00	 6.49429152795326e-09	6.05301604011540e-18		1.41421357097630e+00
2.70000000000000e-01    	1.90918831289480e-01 	 -3.09016993979229e-01   9.51056516300000e-01 	1.00000001970592e+00	 1.06898781936444e-08	1.24472198891066e-17		1.41421357630729e+00
3.00000000000000e-01    	2.12132034987287e-01 	 -3.09016993692349e-01   9.51056516300000e-01 	1.00000003030424e+00	 1.66970382297848e-08	2.12295556168961e-17		1.41421358380143e+00
3.30000000000000e-01    	2.33345238816843e-01 	 -3.09016993254706e-01   9.51056516300000e-01 	1.00000004467176e+00	 2.49867732051715e-08	2.80363185311869e-17		1.41421359396080e+00
3.60000000000000e-01    	2.54558442822120e-01 	 -3.09016992612431e-01   9.51056516300000e-01 	1.00000006356852e+00	 3.60808591041085e-08	1.94641682347848e-17		1.41421360732282e+00
3.90000000000000e-01    	2.75771647055355e-01 	 -3.09016991700092e-01   9.51056516300000e-01 	1.00000008779116e+00	 5.05466338211162e-08	-3.55823121856915e-17		1.41421362445082e+00
4.20000000000000e-01    	2.96984851577366e-01 	 -3.09016990439798e-01   9.51056516300000e-01 	1.00000011815759e+00	 6.89903213727875e-08	-1.99508694381087e-16		1.41421364592313e+00
4.50000000000000e-01    	3.18198056457678e-01 	 -3.09016988740454e-01   9.51056516300000e-01 	1.00000015548953e+00	 9.20489209400306e-08	-5.86212568768972e-16		1.41421367232081e+00
